date,open,high,low,close,volume
2021-07-21,117.5,119.61,117.5,119.25,163642
2021-07-22,119.435,122.88,119.085,122.62,215267
2021-07-23,124.615,126.3,123.985,125.985,233292
2021-07-26,125.73,126.09,124.26,126.06,208200
2021-07-27,126.16,126.16,124.835,126.025,172528
2021-07-28,121.84,123.31,121.43,122.44,339339
2021-07-29,122.59,123.45,122.15,122.38,341992
2021-07-30,122.265,122.965,121.1,121.4,217436
2021-08-02,122.16,122.94,120.085,120.3,235384
2021-08-03,120.56,120.56,117.535,119.11,273782
2021-08-04,119.21,119.21,117.575,118.25,241514
2021-08-05,118.65,119.04,118.12,119.03,150227
2021-08-06,118.9,119.19,118.1,119.05,138309
2021-08-09,118.965,118.965,117.76,117.94,280847
2021-08-10,118.43,118.47,116.0,116.4,335386
2021-08-11,116.22,117.27,115.95,116.39,329614
2021-08-12,116.61,116.61,115.515,115.7,334446
2021-08-13,115.97,116.83,115.45,116.73,216767
2021-08-16,116.5,117.605,116.44,117.53,163403
2021-08-17,116.7,116.82,115.625,116.57,122020
2021-08-18,116.35,116.73,115.6,115.64,176985
2021-08-19,114.2,115.06,113.615,114.34,199913
2021-08-20,114.09,114.99,113.81,114.62,78248
2021-08-23,114.92,115.45,114.75,115.15,77835
2021-08-24,115.38,115.84,114.945,115.085,129386
2021-08-25,115.59,115.91,115.0,115.56,123892
2021-08-26,115.62,115.62,113.87,114.35,124473
2021-08-27,114.54,115.39,114.19,115.14,230640
2021-08-30,115.64,115.78,114.64,115.6,106444
2021-08-31,115.96,117.59,115.71,117.54,122394
2021-09-01,117.735,118.28,117.29,117.45,138459
2021-09-02,117.9,118.32,116.9,117.37,90963
2021-09-03,116.85,117.57,116.36,117.2,64276
2021-09-07,116.95,117.07,115.48,115.82,98639
2021-09-08,116.035,118.17,115.71,118.05,138073
2021-09-09,117.84,120.04,117.84,118.76,122078
2021-09-10,119.23,120.75,118.93,119.28,165757
2021-09-13,119.86,119.96,118.56,119.15,150732
2021-09-14,119.775,119.84,118.47,118.84,93349
2021-09-15,116.8,116.98,113.145,114.68,347505
2021-09-16,114.92,115.25,113.22,114.68,295640
2021-09-17,114.675,114.675,113.15,113.45,106578
2021-09-20,111.26,112.23,110.4,111.84,200612
2021-09-21,111.93,113.55,111.82,112.21,218523
2021-09-22,113.01,114.03,112.37,113.04,96441
