date,open,high,low,close,volume
2021-07-21,281.94,282.78,279.1,281.79,86363
2021-07-22,282.56,283.8,281.38,281.49,53404
2021-07-23,282.575,286.435,282.14,286.08,85851
2021-07-26,285.37,286.74,283.57,285.51,139637
2021-07-27,281.12,288.66,279.58,287.53,124238
2021-07-28,287.985,289.02,286.18,287.58,66471
2021-07-29,289.47,289.74,287.54,289.31,80975
2021-07-30,289.27,291.54,289.11,291.14,102010
2021-08-02,292.19,292.765,290.81,291.535,47599
2021-08-03,291.01,296.09,291.01,295.96,52142
2021-08-04,295.1,297.62,294.74,296.39,64956
2021-08-05,298.93,298.93,294.59,295.705,69384
2021-08-06,296.96,298.11,295.93,297.07,40005
2021-08-09,295.945,297.58,295.945,297.41,55983
2021-08-10,297.91,297.91,295.86,296.185,25131
2021-08-11,298.16,303.0,297.47,302.6,108929
2021-08-12,301.095,304.27,299.77,303.71,46759
2021-08-13,304.19,307.33,303.72,305.74,49037
2021-08-16,305.54,308.52,303.61,307.87,33365
2021-08-17,306.17,306.17,302.65,304.8,54729
2021-08-18,304.525,305.41,300.94,300.94,50448
2021-08-19,298.13,303.47,298.13,302.43,32714
2021-08-20,303.605,308.53,303.18,307.3,37462
2021-08-23,307.46,309.97,304.66,304.67,37300
2021-08-24,304.66,304.66,302.78,302.92,25112
2021-08-25,300.96,303.54,299.99,302.79,45212
2021-08-26,302.84,303.06,299.67,302.4,27523
2021-08-27,303.6,304.82,302.57,302.86,44467
2021-08-30,303.87,307.46,303.87,305.26,23951
2021-08-31,304.78,305.06,302.68,303.71,31281
2021-09-01,303.03,306.77,302.19,305.96,35423
2021-09-02,306.36,308.78,305.58,308.72,36834
2021-09-03,307.72,310.375,306.0,307.47,34896
2021-09-07,302.585,305.06,300.155,302.9,64478
2021-09-08,299.38,299.38,294.4,296.76,95133
2021-09-09,294.26,299.28,293.765,297.3,81645
2021-09-10,297.22,303.985,297.21,300.67,48766
2021-09-13,303.485,304.85,300.94,302.05,47567
2021-09-14,302.51,302.51,298.165,298.74,41448
2021-09-15,299.18,300.58,297.46,299.35,24093
2021-09-16,298.38,299.06,296.33,298.01,21483
2021-09-17,296.265,296.265,293.19,293.85,57201
2021-09-20,288.69,293.18,288.69,291.825,54597
2021-09-21,292.93,293.44,289.88,290.79,43225
2021-09-22,292.61,294.12,290.52,292.1,34427
2021-09-23,293.015,295.59,293.015,294.24,44749
2021-09-24,293.415,293.62,291.12,291.74,51299
2021-09-27,290.4,291.15,287.5,287.52,64298
2021-09-28,285.28,285.33,278.74,279.64,72553
2021-09-29,273.88,285.415,272.19,282.23,332162
2021-09-30,283.745,284.1,278.92,279.88,78330
2021-10-01,280.26,289.58,280.24,284.92,105486
2021-10-04,284.695,288.64,284.0,285.28,75359
2021-10-05,286.57,292.84,285.04,291.31,58481
2021-10-06,291.315,293.925,287.98,293.71,64574
2021-10-07,297.94,299.68,292.98,293.73,55401
2021-10-08,294.86,294.86,288.14,289.91,69663
2021-10-11,289.11,292.33,288.54,288.63,37569
2021-10-12,289.93,293.23,288.84,291.65,57406
2021-10-13,292.55,292.59,286.98,290.12,54474
2021-10-14,289.24,292.27,285.37,292.25,64568
2021-10-15,293.405,297.24,292.52,296.375,67974
2021-10-18,295.02,297.33,295.02,297.33,33344
2021-10-19,298.21,298.505,296.21,298.13,38513
2021-10-20,298.99,301.93,297.55,301.93,47958
2021-10-21,301.485,306.85,300.57,306.85,70752
2021-10-22,308.14,308.235,306.24,306.62,35869
2021-10-25,307.67,310.675,306.795,309.75,80342
2021-10-26,308.22,318.53,302.04,316.3,136296
2021-10-27,317.695,321.45,316.69,317.42,124006
2021-10-28,315.37,323.75,315.37,321.22,105809
2021-10-29,321.52,323.46,314.71,316.57,77341
2021-11-01,316.71,317.9,310.06,310.06,53626
2021-11-02,311.13,314.11,311.12,312.86,55047
2021-11-03,314.48,314.89,310.4,314.175,64726
2021-11-04,314.22,318.83,314.22,318.61,98311
2021-11-05,319.49,322.33,317.31,319.0,72990
2021-11-08,320.395,322.06,319.88,320.795,50828
2021-11-09,320.61,324.64,319.795,323.98,33079
2021-11-10,324.45,325.65,323.905,324.6,79254
2021-11-11,324.1,326.05,323.1,325.93,77887
2021-11-12,326.1,331.43,326.02,331.43,59173
2021-11-15,330.115,332.965,327.855,332.89,58804
2021-11-16,333.385,340.0,333.385,338.62,111191
2021-11-17,338.06,339.63,333.04,333.29,67679
2021-11-18,331.8,335.32,330.51,330.65,54317
2021-11-19,331.38,334.695,329.61,332.33,125922
2021-11-22,332.875,335.34,329.87,329.87,41005
2021-11-23,329.27,330.68,326.18,327.53,47306
2021-11-24,327.56,328.48,326.26,327.94,42479
2021-11-26,324.485,328.27,323.535,323.99,85846
2021-11-29,325.685,335.19,323.61,334.3,92366
2021-11-30,334.03,337.435,329.465,331.195,98817
2021-12-01,333.85,339.57,330.91,330.91,88362
2021-12-02,332.18,342.68,331.77,339.76,84189
2021-12-03,341.42,346.9,336.99,342.31,127592
2021-12-06,343.85,344.555,340.04,340.92,78617
2021-12-07,345.245,345.73,341.33,341.77,76975
2021-12-08,342.37,343.615,339.28,342.32,73184
2021-12-09,344.87,347.12,343.78,343.99,22940
2021-12-10,346.22,347.145,344.04,346.52,24520
2021-12-13,346.995,348.455,343.41,346.12,36782
2021-12-14,343.15,345.44,340.16,342.83,52168
2021-12-15,339.92,345.68,338.93,345.58,81492
2021-12-16,346.7,349.575,345.54,348.33,38376
2021-12-17,346.21,346.28,338.92,340.52,102077
2021-12-20,337.23,337.23,329.44,335.75,80863
2021-12-21,336.93,337.245,332.72,334.455,60819
2021-12-22,335.09,339.14,334.765,338.8,23542
2021-12-23,340.81,341.865,337.765,338.35,37097
2021-12-27,340.72,346.39,339.945,345.56,43839
2021-12-28,348.62,349.29,346.08,348.31,26916
2021-12-29,348.515,352.35,348.515,351.67,19251
2021-12-30,352.425,353.51,349.93,350.5,18079
2021-12-31,349.88,353.21,349.36,352.17,40566
2022-01-03,349.33,349.33,335.37,339.12,99813
2022-01-04,335.0,337.525,332.45,335.725,130719
2022-01-05,337.025,342.57,334.42,336.49,83551
2022-01-06,334.435,337.4,332.88,333.45,75022
2022-01-07,330.77,331.17,322.775,323.315,100983
2022-01-10,322.3,323.425,317.31,323.29,99533
2022-01-11,323.095,324.665,318.25,324.34,72173
2022-01-12,325.77,325.82,319.47,321.39,104591
2022-01-13,321.78,324.19,316.89,316.975,57263
2022-01-14,310.52,313.24,304.01,308.5,211584
2022-01-18,301.06,306.73,297.95,306.15,217731
2022-01-19,306.625,309.2,303.62,303.7,107537
2022-01-20,304.99,307.57,296.83,297.68,143930
2022-01-21,297.65,301.37,292.82,292.84,109855
2022-01-24,288.1,288.78,285.28,288.62,57308
2022-01-25,294.64,298.86,290.61,294.205,332433
2022-01-26,295.54,299.87,292.97,293.96,97163
2022-01-27,289.0,294.66,279.895,283.15,264712
2022-01-28,282.01,287.79,274.1,287.79,151320
2022-01-31,286.03,288.81,283.285,286.49,148763
2022-02-01,288.12,294.18,284.72,293.0,119173
2022-02-02,293.22,295.565,290.915,294.32,66681
2022-02-03,293.47,293.715,287.455,287.75,62011
2022-02-04,285.55,286.07,280.7,281.68,84257
2022-02-07,282.57,282.57,279.26,279.26,86694
2022-02-08,279.98,280.89,278.21,279.74,53082
2022-02-09,284.325,288.22,284.325,286.6,71726
2022-02-10,283.21,285.36,278.58,280.11,123851
2022-02-11,278.95,279.85,272.29,272.96,114687
2022-02-14,273.83,273.83,269.63,270.45,62958
2022-02-15,273.775,274.835,270.25,271.54,101485
2022-02-16,270.81,272.855,267.365,272.58,51653
2022-02-17,271.4,273.0,266.49,267.16,65287
2022-02-18,267.785,271.39,266.86,267.94,98176
2022-02-22,265.5,266.64,259.14,261.61,110644
2022-02-23,263.85,264.095,259.24,259.33,178323
2022-02-24,253.36,259.51,252.98,258.79,114668
2022-02-25,261.25,267.26,259.24,267.22,65155
2022-02-28,264.99,266.7,260.86,263.22,99878
2022-03-01,261.15,263.41,253.95,255.41,116905
2022-03-02,256.5,261.04,256.28,260.31,181697
2022-03-03,261.975,263.825,256.29,257.94,55471
2022-03-04,255.1,258.75,253.54,258.59,114837
2022-03-07,257.64,258.5,242.92,242.92,161214
2022-03-09,242.44,244.43,238.01,241.58,115632
2022-03-10,239.375,239.425,235.87,237.54,117802
2022-03-11,237.9,238.97,233.32,233.42,82349
2022-03-14,234.65,239.21,233.9,237.6,77483
2022-03-15,240.01,244.38,239.56,242.62,110990
2022-03-16,244.01,249.495,239.76,244.39,119456
2022-03-17,242.265,247.51,241.8,247.51,102623
2022-03-18,247.2,252.62,245.52,251.74,53293
2022-03-21,250.37,251.11,244.225,245.81,72057
