date,open,high,low,close,volume
2021-07-21,227.135,227.135,221.82,223.84,35776
2021-07-22,225.66,225.99,219.95,221.45,55019
2021-07-23,224.445,226.99,223.66,224.55,25780
2021-07-26,224.06,224.06,219.88,220.145,18843
2021-07-27,218.05,221.2,216.535,220.3,33288
2021-07-28,222.85,222.875,218.57,220.38,23765
2021-07-29,222.24,222.24,220.1,220.94,24033
2021-07-30,220.91,222.42,217.21,218.07,32008
2021-08-02,220.21,223.39,219.245,219.31,18471
2021-08-03,217.725,223.685,217.65,223.175,16115
2021-08-04,222.47,224.19,221.51,221.51,25625
2021-08-05,223.16,224.89,222.19,222.95,13256
2021-08-06,224.39,226.06,223.44,224.47,30378
2021-08-09,223.325,224.7,222.57,223.52,16642
2021-08-10,223.13,227.16,223.13,225.38,20019
2021-08-11,225.045,230.055,225.045,229.84,27716
2021-08-12,230.88,231.21,227.06,227.78,7220
2021-08-13,228.11,230.425,228.11,230.07,31936
2021-08-16,228.21,231.67,228.21,231.56,13561
2021-08-17,228.16,229.52,224.71,226.025,22893
2021-08-18,224.385,224.615,220.38,220.38,20118
2021-08-19,216.72,218.07,214.99,216.29,14740
2021-08-20,216.755,219.745,215.36,219.51,18461
2021-08-23,221.815,223.27,221.28,222.31,14554
2021-08-24,223.63,226.955,223.58,225.39,34196
2021-08-25,225.38,228.17,225.18,226.19,16383
2021-08-26,225.51,226.265,224.25,224.56,14024
2021-08-27,225.64,228.58,225.64,227.37,12500
2021-08-30,227.68,228.56,226.0,226.16,8475
2021-08-31,225.8,226.64,223.48,225.01,19719
2021-09-01,224.11,226.13,223.085,224.76,15433
2021-09-02,225.85,228.2,225.145,228.2,18007
2021-09-03,227.435,228.615,226.13,226.83,8943
2021-09-07,225.72,225.72,221.77,221.77,8859
2021-09-08,221.22,223.41,221.22,223.28,29447
2021-09-09,221.47,222.93,218.77,220.515,17775
2021-09-10,221.08,221.6,218.07,218.7,10345
2021-09-13,219.9,222.755,216.09,218.97,16016
2021-09-14,219.28,219.28,214.95,215.88,13012
2021-09-15,216.1,221.01,216.1,220.35,17981
2021-09-16,219.62,220.72,218.73,219.56,14560
2021-09-17,215.02,216.29,212.405,213.69,31636
2021-09-20,209.9,212.23,209.78,211.86,23642
2021-09-21,211.28,211.28,206.36,210.0,36450
2021-09-22,212.935,214.04,211.545,212.08,30799
2021-09-23,213.37,217.01,212.855,215.35,36127
2021-09-24,215.015,215.44,214.15,214.43,12204
2021-09-27,215.48,218.62,215.46,216.925,34885
2021-09-28,216.88,217.39,214.52,215.26,9533
2021-09-29,213.91,216.615,212.75,214.92,41125
2021-09-30,216.035,216.3,209.05,209.05,62231
2021-10-01,208.63,210.77,205.57,209.145,70257
2021-10-04,208.75,214.79,208.4,213.53,35131
2021-10-05,214.03,218.41,212.84,215.78,12187
2021-10-06,214.26,216.37,212.18,215.96,27197
2021-10-07,218.445,219.93,215.9,216.08,22308
2021-10-08,216.85,217.04,214.09,215.48,15444
2021-10-11,215.62,217.27,213.39,213.59,26274
2021-10-12,213.59,216.095,213.31,214.67,14316
2021-10-13,212.84,213.9,211.435,213.05,17645
2021-10-14,214.44,219.09,214.44,218.89,8377
2021-10-15,219.94,221.41,219.35,219.35,9360
2021-10-18,218.11,222.92,218.11,222.8,14090
2021-10-19,222.29,225.4,221.575,225.35,15203
2021-10-20,226.055,228.79,226.055,228.05,30822
2021-10-21,222.59,222.59,211.55,212.54,71154
2021-10-22,214.28,216.64,209.865,210.41,36249
2021-10-26,210.0,211.22,205.6,205.64,29067
2021-10-27,204.86,205.22,202.28,202.28,18930
2021-10-28,203.94,206.985,203.88,205.63,16534
2021-10-29,206.58,207.02,202.285,203.18,10001
2021-11-01,204.35,205.55,203.845,204.76,13580
2021-11-02,203.565,204.865,201.25,204.84,25196
2021-11-03,206.39,211.02,206.39,210.96,23570
2021-11-04,211.29,211.29,208.02,209.53,21131
2021-11-05,213.94,218.355,209.86,212.04,59975
2021-11-08,213.555,214.85,213.145,214.06,13821
2021-11-09,214.1,215.07,212.945,214.78,20810
2021-11-10,215.12,218.42,215.12,218.25,21184
2021-11-11,217.71,220.62,217.36,220.17,19668
2021-11-12,220.135,222.45,219.91,221.3,28067
2021-11-15,220.94,222.425,219.965,221.66,32425
2021-11-16,222.145,224.58,221.92,223.65,32354
2021-11-17,223.5,223.5,217.005,217.505,43738
2021-11-18,216.27,216.27,214.165,215.8,26329
2021-11-19,215.575,218.54,214.87,215.65,21677
2021-11-22,218.28,219.445,216.67,216.79,23312
2021-11-23,216.65,217.56,213.46,217.22,29201
2021-11-24,215.25,216.675,213.95,215.48,23664
2021-11-26,210.14,212.175,208.205,211.61,15409
2021-11-29,211.645,213.51,209.94,212.88,9913
2021-11-30,209.8,210.1,205.52,205.98,13359
2021-12-01,207.02,210.86,203.03,203.03,14685
2021-12-02,206.37,211.12,205.93,210.03,10908
2021-12-03,211.18,211.675,209.6,211.28,10021
2021-12-06,213.34,214.32,210.06,210.15,21798
2021-12-07,211.97,215.06,211.68,214.38,22496
2021-12-08,214.165,215.015,212.98,214.92,21751
2021-12-09,212.3,215.6,212.3,214.17,22823
2021-12-10,215.23,218.025,215.21,217.47,13384
2021-12-13,217.44,217.485,213.06,213.165,35729
2021-12-14,213.825,214.66,209.955,212.86,29182
2021-12-15,213.68,216.77,210.97,216.68,15010
2021-12-16,219.47,221.785,217.16,217.16,13811
2021-12-17,214.07,214.49,208.77,209.385,24850
2021-12-20,205.58,205.69,201.76,204.98,10762
2021-12-21,207.09,209.39,207.09,208.7,5146
2021-12-22,207.65,209.09,207.43,208.24,8659
2021-12-23,208.96,210.8,208.88,209.93,11559
2021-12-27,211.02,213.895,210.695,213.895,10979
2021-12-28,214.945,217.13,214.945,216.99,7562
2021-12-29,215.99,217.75,215.99,217.49,5877
2021-12-30,217.87,217.87,214.23,214.27,18312
2021-12-31,213.975,216.4,213.975,215.4,9942
2022-01-03,215.63,215.63,211.22,213.09,9740
2022-01-04,216.44,221.45,216.44,220.99,10528
2022-01-05,221.82,224.135,218.83,219.14,17017
2022-01-06,221.0,222.345,218.895,219.62,15056
2022-01-07,220.21,220.69,218.76,219.17,14877
2022-01-10,217.72,219.15,216.25,217.52,16915
2022-01-11,218.155,218.5,212.98,216.38,28407
2022-01-12,218.73,219.34,216.53,218.9,17080
2022-01-13,219.745,221.5,218.92,220.46,21146
2022-01-14,217.2,220.23,216.08,220.23,32610
2022-01-18,218.525,218.53,213.64,214.4,24813
2022-01-19,213.95,216.06,212.24,212.25,12783
2022-01-20,213.015,215.15,209.72,209.77,18563
2022-01-21,208.41,209.73,205.21,206.1,17213
