date,open,high,low,close,volume
2021-07-21,81.6,83.91,78.965,82.625,415277
2021-07-22,82.46,83.78,81.96,83.13,135217
2021-07-23,83.36,85.56,83.2,85.46,137789
2021-07-26,86.19,87.29,85.92,86.29,124836
2021-07-27,86.04,86.04,83.13,85.125,83011
2021-07-28,85.76,87.05,85.18,86.67,73592
2021-07-29,86.44,87.61,85.835,87.21,28836
2021-07-30,87.14,88.905,86.81,87.95,115031
2021-08-02,88.59,89.13,87.85,88.495,113350
2021-08-03,88.53,91.095,88.19,90.425,110556
2021-08-04,90.17,90.34,89.01,89.35,103723
2021-08-05,90.4,91.105,89.52,90.92,106901
2021-08-06,91.35,93.13,91.35,92.14,108086
2021-08-09,91.95,93.1,91.39,92.54,42998
2021-08-10,92.75,93.78,92.315,92.78,87459
2021-08-11,93.09,94.275,91.83,94.12,51195
2021-08-12,94.39,94.42,89.98,90.79,124206
2021-08-13,91.04,91.63,90.11,90.3,70360
2021-08-16,91.67,92.25,90.6,90.71,143318
2021-08-17,89.97,91.11,89.0,90.23,57972
2021-08-18,89.73,90.73,89.0,89.005,73364
2021-08-19,88.24,88.745,87.5,88.12,55346
2021-08-20,88.24,89.51,88.08,89.46,52789
2021-08-23,90.18,92.3,90.17,91.67,58422
2021-08-24,90.505,90.505,84.73,86.07,280603
2021-08-25,86.03,89.4,86.03,86.89,166947
2021-08-26,86.815,87.05,84.65,84.78,110433
2021-08-27,84.93,87.08,84.88,86.24,96964
2021-08-30,86.34,87.26,85.9,86.84,105205
2021-08-31,87.01,88.225,86.62,87.56,72406
2021-09-01,88.0,88.01,86.025,87.17,86691
2021-09-02,88.14,89.6,87.45,89.48,83154
2021-09-03,89.65,90.7,89.45,90.33,108837
2021-09-07,90.1,90.555,87.98,88.05,131834
2021-09-08,86.24,86.42,83.4,84.34,249440
2021-09-09,84.515,88.59,84.5,87.36,314341
2021-09-10,87.25,87.87,83.69,83.89,200516
2021-09-13,84.4,84.78,83.18,83.95,121889
2021-09-14,83.93,84.98,82.07,82.68,109835
2021-09-15,82.84,84.36,82.84,84.35,57074
2021-09-16,84.23,85.96,84.23,84.8,52905
2021-09-17,84.635,85.07,83.57,83.73,73300
2021-09-20,82.31,83.03,81.4,82.98,117967
2021-09-21,83.0,83.0,81.31,81.605,92512
2021-09-22,82.775,83.89,82.24,82.92,61439
2021-09-23,83.39,85.72,83.32,85.05,138576
2021-09-24,84.79,86.24,84.35,86.1,47089
2021-09-27,85.9,88.17,85.9,86.87,50013
2021-09-28,85.87,87.005,83.96,84.18,114992
2021-09-29,83.18,84.44,82.49,83.13,58035
2021-09-30,83.53,83.675,82.52,82.52,41953
2021-10-01,83.42,85.0,81.42,84.39,133625
2021-10-04,83.73,85.71,83.59,84.07,186772
2021-10-05,83.94,85.77,82.87,85.15,115504
2021-10-06,81.205,81.73,79.41,80.59,164628
2021-10-07,81.33,82.62,80.765,81.79,105230
2021-10-08,82.375,82.49,79.85,79.85,99166
2021-10-11,79.85,82.17,79.795,81.59,120840
2021-10-12,81.57,81.645,78.2,79.11,146292
2021-10-13,78.97,80.25,78.83,79.61,46892
2021-10-14,80.81,83.47,80.74,82.48,117402
2021-10-15,82.55,83.2,81.72,82.01,88001
2021-10-18,81.42,82.2,80.79,81.23,109957
2021-10-19,81.175,81.51,79.86,81.08,137624
2021-10-20,81.13,82.17,80.5,80.55,70977
2021-10-21,80.51,82.23,79.91,82.21,128687
2021-10-22,86.375,88.97,85.23,87.19,368499
2021-10-25,88.38,89.87,87.64,89.18,585208
2021-10-26,87.73,88.98,86.0,88.1,290594
2021-10-27,88.32,88.94,87.54,88.03,97681
2021-10-28,88.51,89.98,88.51,89.55,121406
2021-10-29,88.2,89.54,87.8,89.05,157129
2021-11-01,89.65,93.23,89.65,91.9,149600
2021-11-02,91.95,92.13,90.52,91.82,66736
2021-11-03,92.16,94.76,92.12,93.47,133755
2021-11-04,94.05,95.3,93.64,95.3,56422
2021-11-05,95.7,97.325,95.59,96.71,63478
2021-11-08,97.06,98.08,97.06,97.72,72786
2021-11-09,97.74,99.5,96.99,99.29,177842
2021-11-10,99.05,100.65,98.265,99.02,128973
2021-11-11,99.125,106.67,99.125,105.21,342591
2021-11-12,105.84,116.83,105.74,108.06,664349
2021-11-15,107.16,108.28,105.22,105.68,259135
2021-11-16,106.16,106.27,103.35,103.71,218068
2021-11-17,103.27,104.33,100.365,100.9,317355
2021-11-18,101.215,101.9,100.26,101.24,261639
2021-11-19,101.545,102.82,100.66,100.8,126294
2021-11-22,100.86,103.66,100.79,101.59,151573
2021-11-23,101.71,103.46,100.12,101.595,139667
2021-11-24,100.95,101.42,100.52,101.03,62510
2021-11-26,99.22,100.24,98.12,98.67,107325
2021-11-29,100.77,104.39,100.77,104.0,142556
2021-11-30,102.81,104.675,101.655,102.68,126433
2021-12-01,104.035,108.4,103.78,103.78,173238
2021-12-02,103.285,106.1,103.0,105.135,112476
2021-12-03,104.015,106.305,103.13,105.41,208172
2021-12-06,105.22,105.27,101.76,103.49,161053
2021-12-07,104.835,109.39,104.46,108.525,204320
2021-12-08,108.69,108.69,104.54,105.7,181061
2021-12-09,105.79,105.87,102.83,102.83,82936
2021-12-10,103.72,103.92,101.66,103.91,66455
2021-12-13,103.63,103.63,100.82,101.61,117913
2021-12-14,101.05,102.57,100.07,102.42,76925
2021-12-15,101.66,104.63,100.64,104.62,70777
