date,open,high,low,close,volume
2021-07-21,28.06,28.29,27.86,27.86,607557
2021-07-22,28.26,28.33,27.74,28.01,505599
2021-07-23,27.99,28.205,27.94,28.15,499091
2021-07-26,28.06,28.24,28.02,28.175,1326663
2021-07-27,27.95,28.385,27.89,28.2,582807
2021-07-28,28.19,28.285,27.86,28.025,638835
2021-07-29,28.13,28.445,28.13,28.29,650826
2021-07-30,28.39,28.4,28.015,28.045,832191
2021-08-02,28.24,28.55,28.035,28.11,880554
2021-08-03,28.12,28.245,27.91,28.195,640118
2021-08-04,28.02,28.12,27.81,27.85,584711
2021-08-05,27.91,27.995,27.865,27.93,560235
2021-08-06,27.94,28.08,27.93,27.95,375650
2021-08-09,27.98,27.985,27.815,27.835,535627
2021-08-10,27.83,28.105,27.775,28.09,496430
2021-08-11,28.105,28.215,28.03,28.16,382410
2021-08-12,28.185,28.215,27.95,28.01,384535
2021-08-13,28.04,28.26,28.0,28.2,484326
2021-08-16,28.105,28.285,27.98,28.195,448271
2021-08-17,28.09,28.265,28.02,28.2,489048
2021-08-18,28.13,28.13,27.805,27.81,477263
2021-08-19,27.82,27.84,27.5,27.54,644388
2021-08-20,27.54,27.835,27.43,27.58,502960
2021-08-23,27.69,27.715,27.5,27.52,551330
2021-08-24,27.55,27.55,27.37,27.45,381554
2021-08-25,27.44,27.515,27.345,27.44,343048
2021-08-26,27.395,27.415,27.02,27.025,790146
2021-08-27,27.02,27.19,26.89,27.125,622365
2021-08-30,27.16,27.3,27.05,27.22,712802
2021-08-31,27.18,27.49,27.125,27.425,762277
2021-09-01,27.425,27.455,27.14,27.185,575389
2021-09-02,27.18,27.87,27.16,27.65,1285921
2021-09-03,27.59,27.73,27.32,27.545,606171
2021-09-07,27.46,27.55,27.375,27.42,538875
2021-09-08,27.48,27.735,27.48,27.6,972039
2021-09-09,27.54,27.67,27.41,27.41,685448
2021-09-10,27.45,27.485,27.16,27.18,723774
2021-09-13,27.355,27.745,27.33,27.525,1032525
2021-09-14,27.55,27.605,27.255,27.33,796347
2021-09-15,27.34,27.645,27.325,27.56,1025083
2021-09-16,27.56,27.74,27.445,27.58,806774
2021-09-17,27.46,27.9,27.46,27.52,1380109
2021-09-20,27.32,27.365,26.95,27.24,951368
