date,open,high,low,close,volume
2021-07-21,51.355,51.61,50.51,50.61,49611
2021-07-22,49.975,50.51,49.57,50.47,87360
2021-07-23,50.34,50.4,49.27,49.69,226033
2021-07-26,49.85,50.585,49.54,50.495,92100
2021-07-27,50.285,50.54,49.81,49.99,36571
2021-07-28,49.5,49.88,49.13,49.53,57682
2021-07-29,49.885,50.27,48.44,49.38,120721
2021-07-30,49.52,50.135,48.805,48.9,96619
2021-08-02,49.005,50.56,48.96,49.25,53038
2021-08-03,49.1,49.24,48.48,49.075,79030
2021-08-04,48.97,49.07,48.005,48.01,43761
2021-08-05,48.44,48.51,48.15,48.32,35907
2021-08-06,48.88,49.575,48.61,49.105,67575
2021-08-09,49.09,49.6,49.03,49.35,56604
2021-08-10,49.485,51.36,49.41,51.21,139634
2021-08-11,51.22,52.15,51.19,52.085,145051
2021-08-12,52.05,52.05,50.355,50.37,71793
2021-08-13,50.56,51.16,50.38,50.5,27834
2021-08-16,50.41,50.91,49.885,50.37,58580
2021-08-17,50.045,50.51,49.39,49.62,43069
2021-08-18,49.61,49.8,48.855,48.88,48926
2021-08-19,48.61,49.03,47.87,48.02,38025
2021-08-20,47.89,48.13,47.605,47.8,63127
2021-08-23,48.125,48.56,47.64,48.02,39323
2021-08-24,48.23,48.64,48.08,48.475,32268
2021-08-25,48.21,48.23,47.8,47.91,24703
2021-08-26,47.57,47.75,46.88,47.165,79781
2021-08-27,46.8,47.79,46.78,47.49,39691
2021-08-30,47.485,47.655,46.75,46.77,91429
2021-08-31,46.89,47.81,46.59,47.54,91376
2021-09-01,47.73,47.73,47.03,47.28,49177
2021-09-02,47.39,47.62,46.83,47.085,34494
2021-09-03,47.05,47.19,46.675,46.97,27191
2021-09-07,46.31,46.77,45.775,45.82,95911
2021-09-08,45.86,46.41,45.44,46.29,71033
2021-09-09,45.775,46.2,45.03,46.07,143042
2021-09-10,46.515,46.68,45.545,45.56,51882
2021-09-13,46.05,47.59,46.0,46.945,67661
2021-09-14,46.57,46.81,46.19,46.59,46707
2021-09-15,46.525,46.68,45.955,46.56,62821
2021-09-16,46.41,46.73,46.245,46.39,128373
2021-09-17,46.26,46.26,45.45,45.8,139601
2021-09-20,45.04,45.27,44.5,45.13,69637
2021-09-21,45.43,45.74,44.62,44.8,73927
2021-09-22,45.26,46.055,44.995,45.61,110757
2021-09-23,45.91,46.57,45.91,46.35,77625
2021-09-24,46.24,46.735,46.24,46.51,35739
2021-09-27,47.06,49.49,47.05,48.79,147485
2021-09-28,48.8,48.8,47.45,47.475,81023
2021-09-29,47.5,47.75,47.19,47.32,34195
2021-09-30,47.53,47.53,46.23,46.39,62414
2021-10-01,46.5,47.19,46.24,47.125,51944
2021-10-04,47.525,48.2,47.395,47.65,112919
2021-10-05,47.41,48.425,47.41,48.235,79451
2021-10-06,47.57,47.875,46.305,47.315,197111
2021-10-07,47.53,48.215,47.02,47.19,74083
2021-10-08,47.105,47.2,46.675,46.72,66343
2021-10-11,46.56,46.93,45.78,45.86,73621
2021-10-12,45.77,46.58,45.73,45.775,56957
2021-10-13,45.72,46.02,45.06,45.76,53064
2021-10-14,46.01,46.57,46.01,46.29,52070
2021-10-15,46.6,46.61,45.3,45.62,119860
2021-10-18,44.95,45.29,44.18,44.97,63358
2021-10-19,44.85,45.03,44.27,44.97,98351
2021-10-20,45.26,45.83,45.24,45.35,60236
2021-10-21,45.25,45.25,44.025,44.445,72083
2021-10-22,44.25,44.545,44.01,44.46,58328
2021-10-26,43.57,44.05,43.155,43.54,70234
2021-10-27,43.73,43.88,42.94,43.63,136779
2021-10-28,44.03,44.04,42.46,43.85,160374
2021-10-29,44.17,44.94,43.815,44.025,135797
2021-11-01,44.11,45.32,43.88,45.18,65531
2021-11-02,45.03,45.78,44.7,45.645,39367
2021-11-03,45.85,47.78,45.58,46.86,125397
2021-11-04,46.815,46.835,45.395,46.22,44372
2021-11-05,46.87,47.01,46.18,46.63,61990
2021-11-08,46.86,46.86,45.855,46.08,28287
2021-11-09,46.165,46.165,45.42,45.69,33023
2021-11-10,45.7,46.425,45.68,46.04,69891
2021-11-11,46.1,47.52,46.05,47.325,66463
2021-11-12,47.36,47.875,46.91,47.59,61175
2021-11-15,47.89,49.335,47.66,49.23,81792
2021-11-16,49.44,49.47,48.22,48.24,52179
2021-11-17,47.935,48.08,47.49,47.73,47497
2021-11-18,47.41,47.41,46.45,46.52,80978
2021-11-19,46.345,46.415,45.575,45.9,45361
2021-11-22,45.99,47.505,45.8,47.47,51098
2021-11-23,47.765,48.14,47.235,47.72,70064
2021-11-24,47.59,47.76,47.09,47.23,55388
2021-11-26,45.76,46.01,45.02,45.66,52624
2021-11-29,46.09,46.1,44.78,45.33,40022
2021-11-30,44.725,45.035,44.11,44.46,88645
2021-12-01,45.32,45.925,43.97,43.97,84627
2021-12-02,44.22,45.62,43.66,45.36,85386
2021-12-03,45.88,45.88,45.36,45.72,64557
2021-12-06,46.5,48.1,46.45,46.84,67225
2021-12-07,46.985,47.19,46.305,46.67,39143
2021-12-08,46.97,46.97,45.965,46.11,49403
2021-12-09,45.85,46.05,45.34,45.58,54363
2021-12-10,45.935,46.38,45.935,46.23,34593
2021-12-13,46.295,46.5,45.31,46.01,37185
2021-12-14,46.47,46.73,45.79,45.89,36003
2021-12-15,45.76,45.76,44.315,44.91,146976
2021-12-16,45.31,46.015,44.93,44.99,106882
2021-12-17,44.75,45.29,44.44,44.74,119436
2021-12-20,44.18,44.29,42.61,43.415,134919
2021-12-21,43.67,44.56,43.67,44.54,75928
2021-12-22,44.69,45.28,44.6,44.67,127187
2021-12-23,45.03,45.645,44.95,45.59,115454
2021-12-27,45.45,45.735,45.29,45.69,34261
2021-12-28,45.84,46.065,45.55,45.77,26948
2021-12-29,45.68,46.02,45.58,45.945,40055
2021-12-30,46.33,46.33,45.89,45.91,34834
2021-12-31,45.82,46.49,45.64,46.35,31634
2022-01-03,46.8,47.375,46.77,47.33,35597
2022-01-04,47.62,49.16,47.6,48.9,70669
2022-01-05,49.36,50.02,49.275,49.415,142207
2022-01-06,49.985,50.45,49.32,49.775,174681
2022-01-07,49.945,50.97,49.88,50.63,217268
2022-01-10,51.16,51.3,49.07,49.28,155461
2022-01-11,49.23,49.38,48.35,49.24,92610
2022-01-12,49.06,49.23,48.295,48.58,78455
2022-01-13,49.15,50.425,49.15,50.27,38655
2022-01-14,50.225,51.91,49.98,51.71,77479
2022-01-18,51.57,52.12,51.3,51.68,91197
2022-01-19,51.71,51.71,50.205,50.24,49142
2022-01-20,50.15,50.41,49.22,49.34,71728
2022-01-21,49.23,49.86,48.41,48.62,58491
2022-01-24,48.24,48.81,47.95,48.81,15966
2022-01-25,49.12,50.35,48.695,50.21,57135
2022-01-26,50.1,50.54,47.905,48.485,104210
2022-01-27,48.65,49.61,47.91,48.17,60322
2022-01-28,47.56,48.27,47.255,48.21,39175
2022-01-31,47.52,48.07,47.25,47.67,70350
2022-02-01,47.58,48.49,47.49,48.25,63880
2022-02-02,48.25,48.58,47.8,48.515,39176
2022-02-03,48.52,49.265,48.24,48.795,64626
2022-02-04,48.63,48.63,47.36,47.74,74840
2022-02-07,47.99,48.08,47.35,47.37,53541
2022-02-08,47.99,48.93,47.79,48.4,68975
2022-02-09,48.62,49.39,48.62,49.1,52364
2022-02-10,49.075,49.7,48.69,49.22,102851
2022-02-11,49.22,49.99,49.22,49.79,102644
2022-02-14,49.86,49.86,48.73,49.39,52444
2022-02-15,49.57,50.15,49.29,49.51,61315
