date,open,high,low,close,volume
2021-07-21,642.62,650.3,642.62,648.31,11016
2021-07-22,645.2,647.88,640.95,647.075,9284
2021-07-23,650.54,652.5,645.98,647.395,11268
2021-07-26,645.595,650.16,643.04,649.67,11355
2021-07-27,644.66,650.98,644.31,648.83,12193
2021-07-28,654.07,654.07,646.695,651.175,15838
2021-07-29,653.78,658.68,651.95,655.35,11272
2021-07-30,646.12,652.0,638.465,641.39,14670
2021-08-02,649.67,650.085,634.94,635.455,19645
2021-08-03,635.135,635.135,624.52,632.42,14067
2021-08-04,621.83,621.83,615.95,616.38,7249
2021-08-05,621.595,629.67,620.07,625.0,13745
2021-08-06,632.9,636.32,627.66,628.39,15245
2021-08-09,622.715,632.94,622.16,628.46,24983
2021-08-10,628.69,632.7,620.72,621.13,36180
2021-08-11,621.565,626.775,612.05,624.155,67779
2021-08-12,617.27,617.33,604.59,614.55,19989
2021-08-13,615.01,615.01,605.28,606.065,14296
2021-08-16,599.04,607.215,598.01,603.71,12036
2021-08-17,598.985,603.33,595.855,603.2,8122
2021-08-18,596.9,608.81,596.9,603.32,11825
2021-08-19,597.72,601.675,587.285,588.77,23710
2021-08-20,587.08,598.8,587.08,596.295,9278
2021-08-23,598.145,605.27,598.12,603.18,9749
2021-08-24,609.48,613.72,606.485,608.28,9235
2021-08-25,605.04,609.25,603.35,604.23,7513
2021-08-26,598.21,600.98,594.47,594.49,11722
2021-08-27,601.78,611.195,601.78,608.49,14195
2021-08-30,607.015,610.51,601.77,603.28,16784
2021-08-31,601.875,609.24,601.875,607.78,15880
2021-09-01,609.07,614.56,604.76,609.505,18588
2021-09-02,612.27,615.675,609.27,609.77,13796
2021-09-03,607.22,608.07,598.01,602.86,16533
2021-09-07,603.96,603.96,590.155,591.335,36414
2021-09-08,591.96,595.45,583.88,585.54,26862
2021-09-09,584.295,600.31,581.24,597.85,34235
2021-09-10,597.2,607.83,596.58,600.52,18979
2021-09-13,606.985,613.83,604.72,612.04,16159
2021-09-14,605.5,615.08,603.49,614.11,17510
2021-09-15,615.73,615.73,605.3,613.47,18138
2021-09-16,613.77,613.77,604.51,604.51,9176
2021-09-17,601.56,612.69,600.25,610.13,12938
2021-09-20,601.135,615.63,599.35,615.42,30410
2021-09-21,616.26,619.04,610.615,613.47,16178
2021-09-22,620.32,632.81,620.32,629.26,18734
2021-09-23,633.04,639.22,630.92,637.95,16655
2021-09-24,638.18,645.0,632.89,644.54,20189
2021-09-27,645.0,653.88,645.0,648.675,40693
2021-09-28,645.33,645.33,631.355,638.1,12668
2021-09-29,640.9,646.685,634.04,634.455,13060
2021-09-30,633.55,633.66,624.43,624.93,13539
2021-10-01,630.08,656.5,630.08,653.13,22566
2021-10-04,652.08,652.43,636.595,644.28,8916
2021-10-05,650.075,651.19,644.78,645.315,5271
2021-10-06,640.13,650.94,632.23,650.69,10523
2021-10-07,656.805,657.615,647.38,647.765,13420
2021-10-08,645.32,646.785,643.19,643.42,13723
2021-10-11,641.095,647.69,636.71,636.71,9820
2021-10-12,640.05,640.485,630.035,631.05,15075
2021-10-13,629.065,633.66,622.28,632.59,25642
2021-10-14,637.015,638.53,631.84,636.1,13004
2021-10-15,641.54,643.81,639.4,640.185,22795
2021-10-18,634.33,639.795,628.965,639.775,11972
2021-10-19,644.65,650.235,640.93,647.24,15208
2021-10-20,644.16,648.355,639.54,642.97,15101
2021-10-21,641.76,649.31,639.95,649.23,29151
2021-10-22,654.57,654.875,646.29,647.97,9423
2021-10-26,637.58,647.14,637.3,642.925,12704
2021-10-27,642.1,643.265,628.775,628.935,12450
2021-10-28,628.005,631.66,624.84,627.63,12717
2021-10-29,626.47,628.445,618.59,623.435,9440
2021-11-01,626.53,631.32,626.53,629.585,10638
2021-11-02,631.24,635.345,628.0,629.25,9729
2021-11-03,626.375,626.985,619.015,623.31,9848
2021-11-04,624.675,629.52,621.96,629.52,14952
2021-11-05,640.0,665.22,637.465,664.45,75752
2021-11-08,667.87,675.03,663.91,674.78,33085
2021-11-09,674.26,685.1,672.475,685.1,21668
2021-11-10,684.0,685.2,672.915,678.0,28038
2021-11-11,667.71,667.915,656.22,656.22,21433
2021-11-12,657.395,661.33,635.825,643.0,76967
2021-11-15,646.59,655.63,642.155,652.23,17605
2021-11-16,655.0,669.41,646.69,646.82,43436
2021-11-17,652.59,660.96,639.815,660.28,19306
2021-11-18,658.845,665.0,656.07,660.76,29964
2021-11-19,654.51,654.51,627.54,632.12,49482
2021-11-22,631.96,641.83,629.53,629.53,30119
2021-11-23,638.09,638.09,620.38,624.25,80707
2021-11-24,627.6,627.6,615.995,618.01,91859
2021-11-26,578.59,578.59,559.6,562.17,285951
2021-11-29,572.565,586.25,559.365,583.96,195947
2021-11-30,582.53,587.03,568.56,578.12,54877
2021-12-01,591.715,593.215,553.14,553.74,57742
2021-12-02,572.83,582.09,570.86,581.99,26972
2021-12-03,578.32,583.94,573.455,583.48,19628
2021-12-06,593.1,609.96,591.045,601.92,26139
