date,open,high,low,close,volume
2021-07-21,136.375,139.31,136.375,139.22,56173
2021-07-22,139.37,139.37,136.73,137.85,43252
2021-07-23,138.925,139.24,137.535,138.37,71881
2021-07-26,138.485,138.88,137.49,138.71,81830
2021-07-27,137.805,137.82,135.71,137.565,127343
2021-07-28,140.765,144.66,140.705,141.96,255897
2021-07-29,142.55,146.62,142.53,146.14,134012
2021-07-30,145.78,147.65,145.78,147.37,78373
2021-08-02,148.81,150.54,148.02,148.545,89146
2021-08-03,148.76,149.54,147.5,149.35,69900
2021-08-04,148.805,150.0,148.33,148.97,57970
2021-08-05,149.17,149.395,147.795,148.49,50198
2021-08-06,149.0,150.115,148.77,149.62,28020
2021-08-09,149.08,150.01,148.84,149.64,21406
2021-08-10,149.47,150.73,149.47,149.965,51181
2021-08-11,150.11,151.59,150.11,151.59,56357
2021-08-12,151.5,152.74,150.81,152.59,58793
2021-08-13,152.43,153.07,152.09,152.51,44092
2021-08-16,151.77,153.46,151.75,153.46,40280
2021-08-17,152.23,152.41,148.905,150.37,49674
2021-08-18,149.62,151.23,149.28,149.28,54658
2021-08-19,147.075,147.84,146.565,147.07,55995
2021-08-20,147.28,148.455,147.28,148.1,44584
2021-08-23,149.08,150.43,148.025,150.1,48381
2021-08-24,150.665,151.925,150.665,151.11,51975
2021-08-25,151.235,151.465,150.53,150.85,67753
2021-08-26,150.08,151.23,149.9,150.83,23784
2021-08-27,151.105,152.97,151.105,152.71,24229
2021-08-30,152.76,153.51,152.505,152.64,58949
2021-08-31,153.27,153.27,150.06,150.25,64894
2021-09-01,150.62,150.95,149.745,150.45,79452
2021-09-02,150.53,151.31,149.925,151.01,69093
2021-09-03,150.92,151.34,149.62,149.7,43026
2021-09-07,149.135,149.135,148.365,148.72,53090
2021-09-08,148.285,148.38,146.01,147.03,40741
2021-09-09,146.74,147.875,145.72,145.76,26198
2021-09-10,147.1,147.1,145.305,145.37,33199
2021-09-13,146.42,146.74,145.36,146.33,33655
2021-09-14,146.905,147.235,144.595,144.79,80417
2021-09-15,144.78,145.53,144.23,144.97,134642
2021-09-16,145.22,145.22,142.85,143.8,77399
2021-09-17,143.82,143.89,140.81,141.87,50201
2021-09-20,139.455,140.055,137.795,139.45,121019
2021-09-21,140.41,140.41,137.48,138.23,45464
2021-09-22,140.39,141.38,140.01,140.485,60958
2021-09-23,141.98,144.29,141.98,144.0,48716
2021-09-24,143.46,144.2,143.255,143.995,37823
2021-09-27,144.14,145.565,143.49,144.89,27746
2021-09-28,144.07,144.77,140.73,140.94,72745
2021-09-29,140.89,141.3,138.635,138.69,50380
2021-09-30,139.6,139.7,137.19,137.25,94708
2021-10-01,138.415,142.195,137.58,141.68,81818
2021-10-04,142.07,142.5,139.52,140.32,124418
2021-10-05,141.31,144.38,141.29,143.57,128770
2021-10-06,141.89,144.53,141.275,144.4,74731
2021-10-07,145.855,148.075,145.37,146.39,50456
2021-10-08,146.775,147.03,145.02,145.75,44846
2021-10-11,146.155,147.98,145.43,145.65,94518
2021-10-12,146.18,146.29,141.15,141.5,96546
2021-10-13,141.58,142.785,140.24,141.45,72002
2021-10-14,142.99,147.04,142.835,146.9,71944
2021-10-15,148.185,148.43,146.65,147.26,64018
2021-10-18,146.4,147.28,146.3,147.22,23760
2021-10-19,147.775,148.03,146.845,146.99,45161
2021-10-20,147.375,147.6,146.55,147.09,126390
2021-10-21,146.715,148.77,146.46,148.77,64208
2021-10-22,149.24,150.55,147.46,147.57,38536
2021-10-26,147.7,148.0,146.62,146.87,77158
2021-10-27,145.185,145.76,142.8,142.8,128271
2021-10-28,142.55,145.22,142.55,145.22,59363
2021-10-29,144.365,146.45,144.365,145.91,74659
2021-11-01,147.535,152.08,147.39,151.18,160900
2021-11-02,151.18,152.49,151.05,152.05,94929
2021-11-03,152.025,153.91,151.635,153.42,78021
2021-11-04,153.325,155.55,153.02,154.95,38175
2021-11-05,156.765,159.04,156.63,158.85,64122
2021-11-08,159.4,160.255,157.415,158.0,49196
2021-11-09,160.53,161.535,159.34,161.03,80549
2021-11-10,159.97,161.62,159.97,160.71,54468
2021-11-11,160.765,163.27,159.82,163.27,65742
2021-11-12,162.795,164.35,160.77,164.3,45633
2021-11-15,164.97,165.675,163.3,164.26,38301
2021-11-16,164.01,166.365,163.93,164.89,45386
2021-11-17,164.48,166.195,164.46,166.05,99844
2021-11-18,165.81,165.81,163.05,164.19,110830
2021-11-19,164.255,165.49,163.51,165.22,65856
2021-11-22,165.475,166.26,162.55,162.55,60696
2021-11-23,162.505,162.98,160.005,160.75,103889
2021-11-24,159.77,160.6,158.13,160.32,48563
2021-11-26,157.2,158.59,154.715,155.95,67131
2021-11-29,158.445,159.75,156.33,159.41,71638
2021-11-30,157.635,157.635,153.55,153.88,71666
2021-12-01,156.25,158.885,152.97,152.97,87845
2021-12-02,153.41,158.59,153.41,157.61,93366
2021-12-03,157.78,158.855,154.27,155.91,81482
2021-12-06,157.445,159.305,156.68,157.66,49375
2021-12-07,159.37,160.36,158.69,159.24,82529
2021-12-08,159.435,160.17,158.85,158.85,66781
2021-12-09,158.135,158.63,157.105,157.145,48988
2021-12-10,159.2,160.795,159.1,160.43,59066
2021-12-13,160.105,160.105,156.88,158.02,77332
2021-12-14,157.28,158.71,155.8,157.11,60015
2021-12-15,157.83,160.86,156.675,160.77,55343
2021-12-16,162.505,163.57,159.61,160.15,67509
2021-12-17,159.93,159.93,155.67,156.28,91468
2021-12-20,153.61,154.2,151.215,153.135,62575
2021-12-21,155.44,156.875,154.29,156.75,66622
2021-12-22,156.63,157.03,155.94,156.75,33300
2021-12-23,157.12,159.41,157.12,158.5,26763
2021-12-27,158.94,162.92,158.61,162.8,60110
2021-12-28,162.44,163.31,162.12,162.52,23556
2021-12-29,163.28,164.12,162.19,162.42,50322
2021-12-30,162.485,163.065,160.21,160.58,50639
2021-12-31,160.65,162.15,160.54,161.3,22036
2022-01-03,162.31,162.64,160.0,161.05,43948
2022-01-04,161.24,164.98,161.24,164.06,53185
2022-01-05,164.92,165.755,160.7,160.7,77581
2022-01-06,160.52,162.54,159.5,161.55,46972
2022-01-07,161.73,161.93,158.24,158.53,97303
2022-01-10,157.14,158.29,155.48,158.28,74524
2022-01-11,158.8,160.77,157.745,160.325,52521
2022-01-12,162.0,162.0,159.72,160.68,29271
2022-01-13,161.38,162.29,159.39,159.51,68126
2022-01-14,158.19,160.8,157.815,160.8,197026
2022-01-18,158.74,159.95,156.16,159.09,126070
2022-01-19,160.16,160.765,156.93,157.03,232961
2022-01-20,157.71,158.635,153.705,153.91,151355
2022-01-21,153.89,154.49,150.41,151.11,137793
2022-01-24,149.055,149.055,145.98,147.93,35056
2022-01-25,149.745,151.07,147.42,148.86,83689
2022-01-26,144.66,148.05,141.57,142.455,159070
2022-01-27,142.695,142.86,136.395,137.27,152762
2022-01-28,137.43,140.43,134.54,140.43,251960
2022-01-31,140.18,143.2,139.17,143.13,89655
2022-02-01,143.17,143.65,139.84,143.14,149845
2022-02-02,143.76,148.875,143.76,147.95,137835
2022-02-03,144.52,148.19,144.52,145.17,89087
2022-02-04,145.23,146.395,143.09,144.73,82881
2022-02-07,145.24,145.65,142.99,143.42,151802
2022-02-08,144.61,146.57,143.86,145.73,57614
2022-02-09,147.76,149.92,147.52,149.9,60055
2022-02-10,146.845,151.7,146.56,147.43,88056
2022-02-11,147.73,147.73,142.43,143.45,119382
2022-02-14,144.395,145.0,141.695,143.45,86534
2022-02-15,147.11,148.29,145.35,148.03,81821
2022-02-16,147.52,150.17,146.87,149.74,56658
2022-02-17,147.6,147.79,143.97,144.41,47001
2022-02-18,144.43,145.305,142.815,143.46,122746
2022-02-22,143.18,143.49,139.465,140.59,74674
2022-02-23,142.07,142.68,138.01,138.32,51711
2022-02-24,134.78,141.58,134.5,141.48,81535
2022-02-25,141.65,144.94,141.32,144.68,62862
2022-02-28,142.24,143.125,140.61,142.39,84637
2022-03-01,141.525,141.73,134.46,135.37,256993
2022-03-02,136.65,140.03,135.26,138.57,89972
2022-03-03,139.0,139.0,136.225,136.64,188852
2022-03-04,134.625,135.48,132.38,133.46,177332
2022-03-07,133.62,133.62,127.345,127.685,247908
2022-03-09,133.28,133.28,130.0,130.15,220059
2022-03-10,129.025,131.05,126.145,130.405,148048
2022-03-11,131.17,131.18,126.94,127.45,190648
2022-03-14,128.18,128.18,126.15,126.38,181977
2022-03-15,127.55,128.045,125.54,127.53,216499
2022-03-16,128.66,131.8,128.57,131.345,249823
2022-03-17,130.77,132.63,130.37,132.61,132730
2022-03-18,131.83,134.26,131.2,133.83,96848
2022-03-21,134.38,134.38,131.34,132.05,119590
2022-03-22,132.73,132.855,131.26,131.79,240798
2022-03-23,131.77,131.835,129.17,129.17,113906
2022-03-24,129.65,131.88,129.135,131.85,130943
2022-03-25,132.98,133.175,130.33,132.26,108688
2022-03-28,131.81,131.81,129.09,131.4,70951
2022-03-29,133.14,137.28,133.14,136.92,154472
2022-03-30,135.93,137.0,132.945,133.525,72111
2022-03-31,133.0,133.37,130.95,130.95,102203
