date,open,high,low,close,volume
2021-07-21,49.15,50.12,48.68,49.57,28067
2021-07-22,49.41,49.66,48.605,49.63,27044
2021-07-23,49.665,49.665,48.54,49.04,23100
2021-07-26,49.03,50.09,49.03,49.6,14696
2021-07-27,49.48,49.705,48.985,49.2,10648
2021-07-28,49.23,49.595,48.62,49.21,18669
2021-07-29,49.425,49.7,48.1,48.1,35569
2021-07-30,47.8,50.15,47.8,49.37,45138
2021-08-02,49.77,50.85,49.1,49.1,37926
2021-08-03,48.01,48.68,47.71,48.65,32039
2021-08-04,48.93,49.59,48.54,48.605,13893
2021-08-05,49.07,50.1,48.99,50.1,17884
2021-08-06,50.3,50.8,49.94,50.36,30878
2021-08-09,50.49,50.5,49.66,49.77,33470
2021-08-10,50.48,51.03,50.005,50.24,33826
2021-08-11,50.225,50.92,50.095,50.66,24231
2021-08-12,50.865,50.865,49.9,50.52,21586
2021-08-13,50.74,50.83,50.17,50.26,10072
2021-08-16,49.89,50.255,49.33,49.78,24980
2021-08-17,49.41,49.885,48.79,48.975,8859
2021-08-18,48.95,49.32,47.87,47.94,13137
2021-08-19,47.68,47.68,46.82,47.28,22002
2021-08-20,46.88,49.2,46.88,48.53,27085
2021-08-23,48.89,49.49,48.79,49.06,15199
2021-08-24,49.39,50.26,49.39,49.97,18489
2021-08-25,50.22,50.385,49.76,50.24,19612
2021-08-26,49.93,51.73,49.93,51.42,20915
2021-08-27,51.34,52.11,51.22,51.99,19368
2021-08-30,52.205,52.38,51.38,51.96,15489
2021-08-31,51.885,52.31,51.66,52.17,21960
2021-09-01,52.36,52.83,51.84,52.41,10914
2021-09-02,52.69,52.91,52.07,52.6,16218
2021-09-03,52.14,52.33,51.58,51.99,6688
2021-09-07,51.64,51.7,50.73,50.95,13819
2021-09-08,51.04,51.28,50.375,50.58,16134
2021-09-09,50.05,50.355,49.56,50.09,18168
2021-09-10,50.97,53.37,50.57,51.89,50818
2021-09-13,51.88,54.13,51.88,54.02,48324
2021-09-14,54.025,54.475,53.455,54.03,45761
2021-09-15,54.37,55.18,54.0,55.13,61748
2021-09-16,54.98,55.26,52.825,55.05,53366
2021-09-17,55.69,56.18,55.025,55.13,75514
2021-09-20,54.115,54.815,53.99,54.765,49190
2021-09-21,55.33,56.15,54.79,55.72,43120
2021-09-22,56.01,56.095,54.9,55.37,15350
2021-09-23,55.51,56.055,55.205,55.78,17868
2021-09-24,55.35,55.96,55.35,55.94,15246
2021-09-27,56.01,56.57,55.8,56.05,13201
2021-09-28,55.88,56.19,55.43,55.61,16929
2021-09-29,56.1,56.92,55.87,56.09,11773
2021-09-30,55.83,57.0,55.83,56.26,15582
2021-10-01,56.41,57.93,56.3,57.65,17187
2021-10-04,57.455,57.93,57.205,57.57,18852
2021-10-05,57.65,58.34,57.65,57.935,13162
2021-10-06,57.96,58.35,57.38,58.31,13144
2021-10-07,58.83,59.215,58.23,58.24,7518
2021-10-08,58.48,59.79,58.48,58.825,12576
2021-10-11,58.62,58.62,57.87,58.27,10540
2021-10-12,57.99,59.29,57.99,59.22,11698
2021-10-13,59.24,60.28,58.855,58.855,16294
2021-10-14,59.16,59.57,58.63,59.41,7552
2021-10-15,59.93,60.1,59.49,59.49,16898
2021-10-18,59.56,60.08,59.37,59.69,14374
2021-10-19,60.32,60.96,59.83,59.97,8612
2021-10-20,60.165,60.44,59.975,60.35,6593
2021-10-21,60.68,60.68,60.01,60.21,8910
2021-10-22,59.99,60.41,59.645,60.04,10895
2021-10-26,59.57,60.84,59.38,60.61,8412
2021-10-27,59.915,60.68,59.56,59.8,33776
2021-10-28,59.795,61.26,59.79,61.26,13500
2021-10-29,61.29,61.625,60.65,61.09,9308
2021-11-01,61.72,62.12,61.4,61.83,24840
2021-11-02,61.75,61.81,61.07,61.79,10052
2021-11-03,62.095,62.27,60.69,60.94,28460
2021-11-04,60.92,61.135,60.505,60.51,35737
2021-11-05,59.94,59.94,56.705,58.665,79716
2021-11-08,58.235,59.05,57.225,59.05,33931
2021-11-09,59.1,59.1,56.78,56.78,20236
2021-11-10,56.5,57.08,55.21,55.25,25918
2021-11-11,55.295,56.29,55.0,55.83,22332
2021-11-12,55.7,56.715,55.7,55.9,27538
2021-11-15,56.0,57.18,56.0,56.195,31072
2021-11-16,55.85,56.28,54.83,56.26,27393
2021-11-17,55.83,55.84,53.88,53.91,33171
2021-11-18,53.49,53.72,52.97,53.33,26431
2021-11-19,53.38,53.87,52.66,52.66,23980
2021-11-22,52.09,52.18,51.09,51.22,40036
2021-11-23,51.24,52.595,50.74,52.5,30483
2021-11-24,52.2,53.1,51.7,53.1,30126
2021-11-26,52.01,52.27,51.2,51.39,27427
2021-11-29,51.85,51.96,50.62,50.81,25071
2021-11-30,50.38,50.49,49.19,49.37,29573
2021-12-01,49.955,50.57,47.71,47.73,49489
2021-12-02,47.74,49.69,47.33,49.19,53865
2021-12-03,49.44,49.45,48.36,49.45,33337
2021-12-06,49.66,50.08,48.94,49.38,26553
2021-12-07,50.13,50.66,49.47,49.77,20958
2021-12-08,49.91,50.82,49.72,49.75,15037
2021-12-09,49.45,49.94,48.69,48.69,22080
2021-12-10,49.3,49.5,48.82,49.11,11838
2021-12-13,48.03,48.4,47.84,48.12,17796
2021-12-14,47.625,48.555,47.365,47.51,18950
2021-12-15,47.42,48.55,47.14,48.24,18028
2021-12-16,48.31,48.47,47.35,47.62,13839
2021-12-17,47.31,48.29,47.18,48.14,13077
2021-12-20,47.91,48.19,47.18,47.77,15177
2021-12-21,48.285,48.66,47.33,47.58,23911
2021-12-22,47.54,48.55,47.54,47.75,22523
2021-12-23,47.88,48.7,47.83,48.35,12813
2021-12-27,48.08,49.06,48.08,48.655,10217
2021-12-28,49.35,49.55,48.93,48.93,13367
2021-12-29,49.0,49.69,48.58,49.52,34643
2021-12-30,50.08,50.17,48.82,48.91,14808
2021-12-31,49.02,49.56,48.67,49.34,23463
2022-01-03,49.62,50.7,49.62,49.89,24859
2022-01-04,49.6,51.19,49.405,50.53,62557
2022-01-05,50.82,50.82,48.62,48.7,27246
2022-01-06,48.5,49.35,47.92,49.03,26095
2022-01-07,49.645,50.3,49.29,50.0,26059
2022-01-10,49.89,51.245,49.305,51.12,32631
2022-01-11,51.06,52.01,50.62,51.59,20973
2022-01-12,51.225,51.51,50.13,51.125,27664
