date,open,high,low,close,volume
2021-07-21,521.85,521.85,507.435,513.79,107468
2021-07-22,519.165,525.51,519.07,524.34,50325
2021-07-23,527.97,532.99,525.6,532.08,48907
2021-07-26,528.1,532.17,525.66,529.6,54564
2021-07-27,528.0,533.93,527.74,530.47,58420
2021-07-28,519.0,529.17,517.11,528.33,159834
2021-07-29,531.85,535.345,530.11,533.7,84761
2021-07-30,533.58,543.21,532.09,539.74,65799
2021-08-02,542.79,544.04,531.98,533.26,112594
2021-08-03,534.5,538.31,533.1,536.85,42550
2021-08-04,539.01,540.945,535.485,538.81,45635
2021-08-05,540.495,542.445,537.2,542.39,41777
2021-08-06,541.135,541.135,533.575,538.01,39899
2021-08-09,543.05,545.28,539.18,540.46,42910
2021-08-10,542.36,546.36,539.3,540.35,39325
2021-08-11,540.82,543.74,534.08,537.26,36101
2021-08-12,537.0,542.945,536.135,542.01,35508
2021-08-13,541.31,544.02,540.975,544.02,45876
2021-08-16,546.46,554.315,542.865,554.315,49797
2021-08-17,554.005,557.59,552.27,556.44,34797
2021-08-18,554.715,555.0,544.49,544.52,44221
2021-08-19,544.18,553.97,543.27,551.54,89845
2021-08-20,550.92,557.455,550.64,555.0,65562
2021-08-23,557.49,560.62,551.59,552.25,65310
2021-08-24,553.495,554.0,548.29,550.75,40976
2021-08-25,551.84,552.97,544.2,547.53,43885
2021-08-26,550.0,553.58,545.88,552.85,56300
2021-08-27,553.06,556.415,547.56,548.68,36423
2021-08-30,548.75,558.65,548.75,558.44,53165
2021-08-31,559.495,559.5,548.61,555.025,57467
2021-09-01,552.24,563.18,551.905,561.67,50710
2021-09-02,560.28,571.675,559.95,565.47,57686
2021-09-03,563.4,568.64,561.12,568.22,63172
2021-09-07,568.22,569.45,558.9,569.03,62694
2021-09-08,568.7,573.27,567.7,572.55,59762
2021-09-09,574.23,575.22,567.13,568.8,71948
2021-09-10,571.485,575.43,569.62,572.23,49585
2021-09-13,574.54,574.54,549.31,559.53,67030
2021-09-14,563.96,566.135,560.95,562.44,48115
2021-09-15,560.51,565.915,557.55,562.94,46420
2021-09-16,561.44,561.76,555.29,560.765,52910
2021-09-17,592.93,609.11,576.405,596.6,195286
2021-09-20,591.33,601.9,585.18,590.215,188255
2021-09-21,594.63,602.76,590.27,597.18,97983
2021-09-22,599.75,610.145,596.31,606.46,57646
2021-09-23,608.275,613.76,603.99,608.57,66123
2021-09-24,611.28,616.42,606.375,610.02,58949
2021-09-27,605.515,605.515,583.96,594.895,74931
2021-09-28,587.67,588.535,570.22,576.48,94431
2021-09-29,580.675,585.34,579.19,580.15,45045
2021-09-30,583.6,588.21,571.17,571.17,81516
2021-10-01,571.02,576.065,552.465,572.19,89199
2021-10-04,571.65,574.1,563.03,569.0,92796
2021-10-05,570.12,581.84,569.53,571.37,96897
2021-10-06,569.365,576.0,566.09,575.4,45248
2021-10-07,580.93,588.83,580.92,583.27,53885
2021-10-08,586.79,588.88,580.45,584.06,47575
2021-10-11,581.36,586.04,578.5,578.75,32191
2021-10-12,579.54,581.51,570.8,575.82,52142
2021-10-13,580.86,582.07,570.53,573.82,72499
2021-10-14,577.21,583.95,576.26,577.455,42067
2021-10-15,579.01,583.52,578.74,582.78,33261
2021-10-18,582.04,590.31,581.85,588.09,45513
2021-10-19,590.16,596.57,590.16,592.1,53937
2021-10-20,609.09,609.09,600.31,605.57,61842
2021-10-21,611.0,611.0,598.25,608.34,54312
2021-10-22,608.025,611.86,605.05,611.71,41463
2021-10-26,609.51,610.54,604.105,608.29,73713
2021-10-27,617.03,625.0,609.29,612.455,117793
2021-10-28,614.9,626.78,614.1,620.19,67054
2021-10-29,618.51,633.94,617.175,633.05,55127
2021-11-01,632.79,636.77,627.84,634.9,71554
2021-11-02,636.69,643.14,633.58,636.46,78010
2021-11-03,637.93,642.49,628.55,642.21,55334
2021-11-04,640.74,641.86,630.6,639.45,87889
2021-11-05,610.75,621.01,599.45,616.82,202158
2021-11-08,622.31,624.45,616.055,624.45,64448
2021-11-09,622.73,624.1,615.345,618.75,61298
2021-11-10,621.55,628.445,619.5,626.94,67016
2021-11-11,628.43,632.08,625.755,631.34,52022
2021-11-12,633.98,639.29,629.85,635.17,32037
2021-11-15,637.81,639.24,632.05,632.05,39314
2021-11-16,632.95,650.505,632.54,640.84,73191
2021-11-17,644.96,645.7,634.33,637.23,61226
2021-11-18,639.3,639.3,632.17,637.64,81154
2021-11-19,640.09,644.475,635.92,636.21,63587
2021-11-22,638.535,640.36,631.61,634.21,91798
2021-11-23,630.0,633.76,622.305,632.72,66672
2021-11-24,633.51,633.51,625.02,633.06,77402
2021-11-26,652.0,666.51,637.52,640.025,101262
2021-11-29,641.58,654.165,638.28,648.78,88108
2021-11-30,643.99,649.075,631.27,633.09,85507
2021-12-01,635.14,637.54,625.88,625.88,74157
2021-12-02,624.5,633.5,620.57,627.73,95608
2021-12-03,631.875,636.49,618.71,636.08,115924
2021-12-06,635.27,635.64,609.77,622.26,126873
2021-12-07,634.5,637.28,624.49,627.94,77388
2021-12-08,628.665,638.655,628.665,638.06,64162
2021-12-09,639.5,642.18,635.97,637.16,52769
2021-12-10,641.08,644.31,637.51,642.485,52987
2021-12-13,642.05,649.05,640.94,645.635,63026
2021-12-14,639.7,643.24,624.66,632.6,98923
2021-12-15,636.585,656.54,633.85,656.09,87721
2021-12-16,655.62,664.085,651.615,661.64,93259
2021-12-17,654.165,659.91,647.87,651.3,66800
2021-12-20,649.41,655.785,641.43,649.36,54507
2021-12-21,649.005,649.005,635.87,645.56,48352
2021-12-22,647.29,652.87,646.005,651.53,66772
2021-12-23,653.755,655.935,649.97,650.615,57590
2021-12-27,655.09,662.415,655.09,662.25,33824
2021-12-28,665.37,665.37,653.67,655.38,35744
2021-12-29,656.39,665.03,655.57,662.8,26156
2021-12-30,668.25,668.84,662.98,664.82,23274
2021-12-31,664.28,672.19,664.28,667.465,32352
2022-01-03,663.93,664.19,640.26,644.53,117576
2022-01-04,636.73,636.73,612.78,618.845,140546
2022-01-05,617.24,628.39,616.325,618.72,96489
2022-01-06,617.64,626.74,610.0,620.44,109113
2022-01-07,619.44,619.74,606.43,606.88,124282
2022-01-10,599.63,625.335,599.39,624.99,105556
2022-01-11,624.74,627.15,612.48,620.48,146420
2022-01-12,620.8,631.83,620.515,624.85,70093
2022-01-13,624.8,624.8,600.06,600.36,123557
2022-01-14,596.91,602.195,588.42,594.89,127612
2022-01-18,586.19,593.69,584.22,590.16,76491
2022-01-19,594.34,601.97,592.715,593.07,111999
2022-01-20,595.415,602.05,586.81,588.25,64960
2022-01-21,586.505,589.74,578.85,580.35,77643
2022-01-24,571.14,571.33,556.335,558.21,34437
2022-01-25,569.185,576.67,561.275,567.98,120178
2022-01-26,575.21,575.21,563.645,564.56,83895
2022-01-27,568.95,571.1,552.825,553.44,123113
2022-01-28,554.99,572.15,544.195,572.15,99978
2022-01-31,574.37,581.51,572.47,581.35,114846
2022-02-01,586.76,595.6,580.57,594.38,150339
2022-02-02,598.85,607.945,597.04,603.62,149955
2022-02-03,595.31,601.0,589.68,594.95,107328
2022-02-04,591.73,598.955,587.83,594.575,80763
2022-02-07,596.94,596.94,585.0,586.92,79044
2022-02-08,585.99,592.26,578.95,587.47,56610
2022-02-09,593.955,598.445,588.11,589.86,65799
2022-02-10,582.61,587.21,577.57,580.19,118065
2022-02-11,580.0,584.315,564.895,566.35,101378
2022-02-14,565.0,567.77,556.1,561.28,78654
2022-02-15,568.43,570.27,553.89,556.64,110119
2022-02-16,554.23,554.23,539.33,550.6,140266
2022-02-17,550.02,550.02,539.96,540.54,70268
2022-02-18,541.15,541.63,534.615,537.205,99877
2022-02-22,536.305,540.705,527.075,530.0,107655
2022-02-23,533.01,542.105,528.205,528.48,102194
2022-02-24,517.185,542.36,517.185,540.32,172944
2022-02-25,538.31,550.05,535.2,549.78,73993
2022-02-28,545.795,549.16,539.01,543.6,112930
2022-03-01,545.45,547.275,538.82,542.91,124688
2022-03-02,543.69,561.55,542.48,556.66,161475
2022-03-03,559.91,567.945,550.7,553.92,83370
2022-03-04,549.89,550.96,537.345,547.14,80768
2022-03-07,542.785,543.55,524.285,534.78,114957
2022-03-09,537.565,543.715,531.55,541.96,105666
2022-03-10,537.8,541.12,533.88,537.95,102756
2022-03-11,541.11,543.27,529.1,529.76,46550
2022-03-14,535.27,551.04,531.7,535.4,70017
2022-03-15,544.435,552.25,542.43,550.24,78528
2022-03-16,556.02,565.885,551.41,562.7,99957
2022-03-17,562.98,572.46,560.0,572.44,76139
2022-03-18,575.0,590.19,575.0,589.6,115138
2022-03-21,584.69,589.77,584.11,589.49,147564
2022-03-22,591.33,594.44,586.74,587.76,107135
2022-03-23,583.08,583.08,570.0,571.33,68710
2022-03-24,573.72,574.24,567.19,574.035,63452
2022-03-25,581.05,581.05,568.42,574.36,77834
2022-03-28,576.505,583.17,575.35,583.03,61568
2022-03-29,590.88,595.685,585.45,592.59,105436
2022-03-30,594.48,598.93,591.045,595.3,73246
2022-03-31,594.395,600.88,590.93,590.93,91676
2022-04-01,590.09,593.16,585.66,592.24,54294
2022-04-04,589.8,594.57,585.48,589.73,48603
2022-04-05,585.77,593.73,581.22,583.9,58388
2022-04-06,578.385,589.6,573.38,587.42,88363
2022-04-07,582.925,617.01,582.925,612.375,139853
2022-04-08,609.19,618.23,606.96,608.86,116112
2022-04-11,599.99,602.72,584.65,585.54,73631
2022-04-12,584.75,584.92,565.76,571.17,114241
2022-04-13,573.87,578.12,565.12,576.99,97076
2022-04-14,577.605,577.605,564.9,568.92,59382
2022-04-18,570.25,574.88,566.03,572.105,118256
2022-04-19,575.4,575.83,568.42,574.21,76316
2022-04-20,577.865,598.0,577.865,591.4,94879
2022-04-21,592.715,593.38,578.16,580.68,92560
2022-04-22,574.43,574.64,560.84,561.2,102038
2022-04-25,548.54,548.54,529.72,544.64,173649
2022-04-26,537.31,537.31,514.14,516.49,241796
2022-04-27,520.08,526.995,515.77,521.98,148384
2022-04-28,560.72,567.08,549.175,558.995,199278
2022-04-29,555.83,565.43,551.56,552.97,179086
2022-05-02,548.5,553.25,535.96,545.59,248690
2022-05-03,545.84,553.44,541.52,546.72,113356
2022-05-04,543.27,564.65,542.11,563.41,78347
2022-05-05,559.605,561.515,543.25,550.58,135568
2022-05-06,544.35,549.11,533.98,546.87,90732
2022-05-09,537.23,538.1,514.95,517.69,119811
2022-05-10,529.03,532.265,516.84,526.26,147628
2022-05-11,521.61,532.35,519.7,520.0,63959
2022-05-12,514.48,527.41,514.48,525.84,134098
2022-05-13,533.485,551.66,532.99,541.49,86546
2022-05-16,539.91,543.6,533.28,539.78,58556
2022-05-17,554.0,560.02,544.57,554.96,120722
2022-05-18,549.18,549.83,539.75,541.65,95371
2022-05-19,538.53,559.78,537.99,551.49,233449
2022-05-20,558.125,565.92,544.725,555.18,201374
2022-05-23,557.98,559.46,550.77,555.38,91568
2022-05-24,553.25,553.25,543.835,549.39,75477
2022-05-25,548.0,548.0,530.8,534.43,133938
2022-05-26,537.68,541.55,533.965,539.995,180129
2022-05-27,544.735,573.02,544.735,572.34,130308
2022-05-31,567.05,573.22,563.1,567.975,135266
2022-06-01,569.34,571.915,550.335,556.02,83901
2022-06-02,552.09,570.27,549.79,569.71,57461
2022-06-03,562.025,562.025,554.91,558.04,30877
2022-06-06,561.24,561.24,550.68,552.62,41733
2022-06-07,552.16,561.4,550.705,560.58,38148
2022-06-08,559.31,560.0,549.93,552.07,44023
2022-06-09,549.96,551.92,539.66,540.06,56731
2022-06-10,526.48,533.33,523.355,526.77,75283
2022-06-13,513.1,517.4,508.77,512.28,94164
2022-06-14,512.19,512.19,502.92,507.23,70351
2022-06-15,513.75,521.27,507.13,514.62,86953
2022-06-16,503.07,506.15,497.88,505.03,68373
2022-06-17,504.11,511.96,500.885,500.89,59693
2022-06-21,507.015,516.43,505.84,513.49,99916
2022-06-22,508.56,525.48,508.56,519.99,74562
2022-06-23,523.64,541.07,522.81,540.685,124538
2022-06-24,542.05,544.95,537.65,544.89,67294
2022-06-27,545.555,546.785,540.58,543.55,39486
2022-06-28,542.86,545.02,534.53,535.66,53656
2022-06-29,530.87,538.11,528.57,536.19,56189
2022-06-30,533.41,546.21,529.5,543.24,72380
