date,open,high,low,close,volume
2021-07-21,170.38,170.38,170.38,170.38,6975
2021-07-22,167.22,168.03,167.22,168.03,2979
2021-07-23,166.67,166.67,166.67,166.67,5769
2021-07-26,165.14,165.14,165.14,165.14,7164
2021-07-27,161.56,161.56,160.11,160.11,9207
2021-07-29,162.7,162.7,162.7,162.7,18702
2021-07-30,162.34,165.2,162.34,165.2,3249
2021-08-04,160.89,160.89,160.89,160.89,3753
2021-08-09,164.11,165.0,164.11,165.0,3708
2021-08-10,166.33,166.78,166.32,166.78,6138
2021-08-11,165.03,166.13,165.03,166.13,9081
2021-08-13,166.46,166.46,166.46,166.46,9135
2021-08-16,162.7,163.35,162.46,163.35,8208
2021-08-17,157.78,157.78,157.78,157.78,3960
2021-08-18,155.78,155.78,153.14,153.14,8991
2021-08-19,147.56,147.56,147.56,147.56,10125
2021-08-20,149.63,149.63,148.24,148.24,4248
2021-08-23,152.68,152.68,150.89,151.5,9000
2021-08-24,153.33,154.54,153.33,154.54,8406
2021-08-26,157.67,157.67,156.0,156.0,9594
2021-08-31,152.82,152.82,150.78,151.59,14868
2021-09-01,150.12,151.3,150.12,151.3,9009
2021-09-02,150.0,150.0,148.56,148.56,12537
2021-09-03,146.13,146.13,143.81,143.81,6462
2021-09-07,139.32,139.32,135.35,135.35,19017
2021-09-08,135.77,136.73,133.41,136.51,27936
2021-09-09,137.24,138.06,136.59,136.59,14868
2021-09-10,134.5,134.78,134.5,134.78,6498
2021-09-13,136.36,138.28,136.36,138.28,16524
2021-09-14,138.06,138.06,135.37,135.45,31077
2021-09-15,139.43,139.67,139.32,139.32,27675
2021-09-16,136.62,138.17,135.31,138.05,20457
2021-09-17,135.44,143.72,134.75,143.72,39159
2021-09-20,142.0,142.16,136.0,136.86,22086
2021-09-21,138.89,138.89,138.89,138.89,7110
2021-09-22,140.13,141.99,140.13,141.99,21663
2021-09-27,147.65,151.53,147.65,151.53,15174
2021-09-28,150.78,150.78,147.83,147.83,13986
2021-09-29,143.57,143.57,137.57,138.78,24192
2021-09-30,134.84,134.84,134.13,134.13,13860
2021-10-01,132.35,132.55,130.34,130.34,25956
2021-10-04,132.06,132.06,125.12,125.84,23310
2021-10-05,128.67,132.15,127.78,132.15,28224
2021-10-06,128.61,130.45,127.57,130.45,15705
2021-10-07,127.22,127.5,126.44,127.5,16488
2021-10-08,132.56,136.3,132.27,134.03,19224
2021-10-11,138.27,138.27,131.68,133.34,14607
2021-10-12,131.91,131.91,131.22,131.22,6417
2021-10-13,132.15,133.33,132.15,132.86,18279
2021-10-14,134.49,134.49,134.49,134.49,9693
2021-10-15,135.29,135.29,135.29,135.29,10467
2021-10-21,138.87,138.87,138.87,138.87,11889
2021-10-22,138.04,141.59,138.04,141.59,12060
2021-10-26,144.17,144.17,144.17,144.17,11772
2021-10-27,143.89,143.89,138.35,138.78,33057
2021-10-28,139.92,139.92,139.92,139.92,12465
2021-10-29,138.83,138.83,138.83,138.83,5094
2021-11-01,147.1,147.1,146.55,146.55,16632
2021-11-02,142.87,142.89,142.57,142.89,10863
2021-11-04,138.17,138.17,138.17,138.17,6309
2021-11-05,145.67,151.48,145.67,151.48,12474
2021-11-08,154.61,155.0,153.58,154.44,21177
2021-11-09,155.96,157.44,155.96,157.44,12654
2021-11-10,149.51,149.61,148.16,148.69,7929
2021-11-11,148.78,148.88,148.78,148.88,9576
2021-11-15,142.84,142.84,142.84,142.84,5877
2021-11-16,143.89,143.89,143.89,143.89,9639
2021-11-18,140.11,140.11,140.07,140.07,8415
2021-11-19,138.29,138.29,138.29,138.29,8298
2021-11-23,140.99,141.44,140.92,141.33,15939
2021-11-24,146.11,146.11,146.11,146.11,3429
2021-11-26,138.74,138.74,138.74,138.74,11403
2021-11-29,139.02,139.63,139.02,139.29,9324
2021-11-30,137.17,137.17,137.17,137.17,9054
2021-12-02,132.24,132.24,132.0,132.23,15642
2021-12-03,135.01,135.01,134.18,134.55,27153
2021-12-06,140.21,140.21,140.21,140.21,24984
2021-12-08,146.39,146.39,146.39,146.39,10296
2021-12-09,139.09,139.09,139.09,139.09,8523
2021-12-13,139.37,139.44,139.34,139.34,18927
2021-12-14,137.83,137.83,136.07,136.42,13806
2021-12-16,142.22,143.11,141.14,141.14,10395
2021-12-17,134.65,134.92,133.39,134.02,29061
2021-12-20,130.3,134.39,130.3,134.39,17244
2021-12-21,138.6,138.77,138.6,138.77,8685
2021-12-22,140.22,140.22,138.89,138.89,10998
2021-12-28,144.01,144.01,144.01,144.01,5634
2021-12-30,139.99,139.99,139.99,139.99,6363
2022-01-03,140.57,140.57,140.57,140.57,6237
2022-01-04,142.89,143.64,142.89,143.64,5607
2022-01-05,145.31,145.83,145.31,145.83,7596
2022-01-06,139.51,140.83,139.51,140.83,11457
2022-01-07,140.77,140.97,140.28,140.28,12735
2022-01-11,135.42,137.07,135.42,136.79,18702
2022-01-13,134.44,134.44,126.11,126.17,25218
2022-01-14,126.86,126.86,121.86,123.31,85545
2022-01-18,124.0,124.0,117.77,117.95,18315
2022-01-19,120.24,120.24,118.79,118.79,24678
2022-01-20,118.48,118.48,111.77,111.77,8811
2022-01-21,111.23,114.02,111.15,114.02,25029
2022-01-24,107.23,107.23,107.23,107.23,963
2022-01-25,112.27,117.25,112.27,117.25,10710
2022-01-26,119.02,119.02,119.02,119.02,3258
2022-01-27,110.7,111.87,110.7,111.87,16533
2022-01-31,116.04,119.42,116.04,119.42,20727
2022-02-01,117.94,123.49,117.94,123.49,12762
2022-02-02,125.33,125.33,123.28,123.28,16434
2022-02-03,121.35,121.35,121.35,121.35,4725
2022-02-04,122.76,122.76,122.42,122.42,5004
2022-02-07,119.34,119.34,119.34,119.34,5364
2022-02-08,119.44,119.53,119.44,119.53,10818
2022-02-10,120.74,120.86,119.76,119.76,13401
2022-02-11,120.7,120.7,120.7,120.7,8253
2022-02-14,124.11,124.11,119.53,119.53,4275
2022-02-15,115.71,115.71,114.37,114.63,18711
2022-02-16,116.58,116.58,116.58,116.58,5832
2022-02-17,113.4,113.4,112.24,112.24,10998
2022-02-18,111.65,111.65,109.88,109.88,13779
2022-02-22,112.47,112.47,111.38,111.38,9567
2022-02-23,111.29,112.41,111.29,112.41,8190
2022-02-24,115.11,121.71,115.11,121.06,16659
2022-02-25,123.44,123.44,117.76,118.95,7416
2022-02-28,121.83,133.18,121.83,131.98,42750
2022-03-01,135.56,135.56,130.77,134.57,34182
2022-03-02,139.66,139.99,137.49,137.56,57546
2022-03-03,135.27,135.27,135.27,135.27,6597
2022-03-04,138.78,146.18,138.78,143.63,25776
2022-03-07,139.22,139.22,139.22,139.22,11763
2022-03-09,141.11,141.11,139.01,139.01,9972
2022-03-10,145.3,146.33,144.21,144.21,10791
2022-03-11,145.27,147.95,145.27,147.95,21582
2022-03-14,143.08,143.08,141.59,141.59,14274
2022-03-15,138.9,140.31,138.33,138.89,70056
2022-03-16,140.22,145.28,140.22,140.79,52416
2022-03-17,146.25,150.42,146.25,150.42,24183
2022-03-18,152.23,152.23,147.27,149.71,27387
2022-03-21,151.45,155.67,151.45,155.67,23130
2022-03-28,156.53,156.53,154.96,155.07,13194
2022-03-29,156.77,158.73,156.77,158.73,12780
2022-03-30,160.24,161.17,160.06,161.08,19827
2022-03-31,162.05,162.05,149.06,149.57,42201
2022-04-01,153.12,156.03,153.12,156.03,15309
2022-04-04,159.57,164.42,159.57,164.42,19107
2022-04-05,158.88,158.88,157.73,157.73,8928
2022-04-06,156.67,157.44,154.89,154.89,10818
2022-04-11,156.63,156.63,154.97,154.97,8829
2022-04-12,159.12,159.12,157.91,157.91,11367
2022-04-13,157.2,157.2,157.2,157.2,5895
2022-04-14,162.06,162.06,162.06,162.06,7209
2022-04-18,166.04,166.04,166.04,166.04,8829
2022-04-20,167.16,167.21,167.16,167.21,5751
2022-04-21,159.56,159.56,159.56,159.56,3321
2022-04-22,154.16,154.16,153.56,153.61,7722
2022-04-25,148.95,148.95,148.95,148.95,10206
2022-04-26,150.07,153.32,150.07,153.32,9999
2022-04-27,147.14,147.14,147.14,147.14,3123
2022-04-28,154.47,154.47,152.72,152.72,4365
2022-04-29,154.04,154.04,154.04,154.04,4788
2022-05-02,152.05,152.05,145.75,150.92,28233
2022-05-03,152.99,152.99,152.96,152.96,6507
2022-05-04,153.0,157.22,151.9,157.22,8163
2022-05-06,152.76,155.82,152.76,155.82,11340
2022-05-09,148.21,148.21,143.85,143.85,17766
2022-05-10,149.06,149.06,148.36,148.36,11709
2022-05-11,142.54,142.54,142.54,142.54,7488
2022-05-12,142.32,144.14,140.95,140.95,10701
2022-05-13,149.07,150.08,148.58,150.08,10620
2022-05-16,152.49,152.49,152.49,152.49,5796
2022-05-17,151.52,152.27,151.52,152.27,6570
2022-05-18,150.99,150.99,150.8,150.8,9360
2022-05-19,152.36,152.36,152.36,152.36,10782
2022-05-20,149.87,149.87,149.87,149.87,3969
2022-05-24,154.78,158.11,153.69,158.11,9585
2022-05-25,165.22,165.8,165.22,165.8,10557
2022-05-27,174.62,174.62,174.47,174.47,9027
2022-05-31,176.92,176.92,171.85,171.85,20583
2022-06-01,176.41,176.41,176.41,176.41,12339
2022-06-02,181.31,183.52,180.15,181.44,27990
2022-06-03,180.02,185.08,180.02,185.08,19179
2022-06-06,185.82,185.82,185.82,185.82,10323
2022-06-07,188.11,195.11,188.11,194.24,26487
2022-06-08,194.78,194.78,190.39,190.39,19566
2022-06-09,189.87,191.05,189.87,190.87,16479
2022-06-10,185.82,190.63,184.77,190.63,23382
2022-06-13,178.98,178.98,177.68,177.68,17334
2022-06-14,184.92,184.92,180.6,180.6,25101
2022-06-15,184.95,186.54,184.95,186.34,14877
2022-06-16,175.72,175.72,171.21,171.21,28197
2022-06-17,163.43,167.78,161.95,164.54,48492
2022-06-21,169.84,169.84,165.97,167.75,46845
2022-06-22,165.89,166.89,160.74,161.55,20079
2022-06-23,162.75,162.75,154.99,160.79,38412
2022-06-24,170.95,171.54,169.77,169.96,37413
2022-06-27,171.28,171.28,168.81,170.72,18324
2022-06-28,177.25,180.0,175.5,180.0,27306
2022-06-29,175.0,175.0,167.67,167.67,15840
2022-06-30,166.05,166.05,164.44,164.44,10593
2022-07-05,161.34,164.44,160.02,163.89,48834
2022-07-06,162.76,162.76,158.06,158.06,24246
2022-07-07,172.68,172.68,172.68,172.68,14517
2022-07-08,173.31,173.31,173.31,173.31,8010
2022-07-11,171.15,171.15,171.15,171.15,15507
2022-07-12,168.32,172.34,168.14,170.43,39177
2022-07-13,177.37,180.63,175.56,179.74,27675
2022-07-14,173.61,180.82,173.61,180.82,25713
2022-07-15,183.1,184.13,179.61,183.99,34776
2022-07-18,192.86,192.86,186.88,187.13,16956
2022-07-19,187.13,187.13,187.13,187.13,0
2022-07-20,192.38,201.44,192.38,200.79,34524
2022-07-21,193.27,193.39,193.27,193.39,16794
2022-07-22,194.82,197.33,194.82,197.33,16524
2022-07-25,199.18,199.18,197.17,197.17,16416
2022-07-26,199.74,199.74,194.52,196.81,37773
2022-07-27,199.98,202.29,197.71,202.29,24831
2022-07-28,200.76,202.67,198.56,202.67,33507
2022-07-29,204.88,206.5,204.44,204.44,16488
2022-08-01,200.15,202.89,200.05,202.89,25002
2022-08-02,203.91,203.91,203.91,203.91,12735
2022-08-03,195.87,195.87,194.03,194.03,15408
2022-08-04,199.4,199.4,193.41,194.54,25965
2022-08-05,187.68,187.68,184.16,184.16,28728
2022-08-08,190.01,190.01,190.01,190.01,17235
2022-08-09,190.01,190.01,190.01,190.01,0
2022-08-10,191.83,191.83,191.83,191.83,7569
2022-08-11,191.83,191.83,191.83,191.83,0
2022-08-12,189.34,189.34,183.83,184.89,41625
2022-08-15,187.71,187.71,185.57,185.57,19755
2022-08-16,182.76,184.33,179.94,184.33,18441
2022-08-17,186.68,191.65,186.68,190.03,20808
2022-08-18,195.83,198.19,195.83,197.36,16371
2022-08-19,196.19,196.19,190.07,190.07,26154
2022-08-22,190.07,194.01,190.07,194.01,20799
2022-08-23,200.56,201.13,196.07,196.07,37179
2022-08-24,199.22,201.38,198.64,201.38,18729
2022-08-25,199.76,199.76,197.9,197.9,29214
2022-08-26,203.18,205.26,203.18,205.26,20421
2022-08-29,211.0,211.0,207.27,207.65,22347
2022-08-30,201.73,201.73,192.09,192.09,31077
2022-08-31,191.88,205.53,189.83,204.27,102294
2022-09-01,199.1,199.1,196.95,198.0,19206
2022-09-02,201.78,203.02,201.78,203.02,12978
2022-09-06,209.91,210.33,206.06,206.14,34155
2022-09-07,204.01,204.01,201.11,201.91,25281
2022-09-08,201.67,202.62,200.34,200.51,24759
2022-09-09,203.24,203.24,201.33,202.44,26469
2022-09-12,201.72,202.78,201.44,202.33,38439
2022-09-13,193.89,195.07,193.89,195.07,29943
2022-09-14,203.12,207.33,203.12,205.58,38565
2022-09-15,203.4,206.06,193.61,196.55,44406
2022-09-16,193.08,196.22,191.81,196.22,18351
2022-09-19,197.8,201.34,196.66,201.11,30294
2022-09-20,196.3,196.3,196.3,196.3,19557
2022-09-21,196.3,196.3,196.3,196.3,0
2022-09-22,196.09,199.72,196.02,198.02,21708
2022-09-23,189.07,189.07,180.45,181.06,31221
2022-09-26,181.15,181.15,181.15,181.15,27900
2022-09-27,186.79,188.12,185.29,188.12,18396
2022-09-28,193.52,193.52,193.52,193.52,11619
2022-09-29,194.92,199.11,194.92,199.11,13752
2022-09-30,197.59,197.59,197.59,197.59,16074
2022-10-03,201.64,204.18,201.64,204.18,30240
2022-10-04,215.06,216.15,213.45,215.64,37440
2022-10-05,216.76,222.47,216.76,221.7,36279
2022-10-06,227.22,227.22,227.22,227.22,15876
2022-10-07,226.95,227.43,220.09,220.09,54306
2022-10-10,220.15,220.15,220.15,220.15,13536
2022-10-11,220.64,227.23,220.64,227.23,35361
2022-10-12,226.89,228.21,226.46,227.93,21186
2022-10-13,228.39,233.5,228.39,232.48,32373
2022-10-14,223.59,223.59,223.59,223.59,17154
2022-10-17,223.59,223.59,223.59,223.59,0
2022-10-18,229.18,229.18,226.08,226.08,16173
2022-10-19,226.08,226.08,226.08,226.08,0
2022-10-20,234.8,234.8,227.16,227.16,13851
2022-10-21,229.16,237.79,228.34,237.0,15336
2022-10-24,237.71,241.97,237.71,241.97,18945
2022-10-25,242.12,242.12,231.78,231.78,31788
2022-10-26,231.78,231.78,231.78,231.78,0
2022-10-27,244.44,247.15,244.44,247.15,28728
2022-10-28,249.44,255.89,247.22,255.4,27522
2022-10-31,256.97,256.97,255.68,255.74,24309
2022-11-01,256.4,263.59,256.4,262.92,35865
2022-11-02,262.92,262.92,262.92,262.92,0
