date,open,high,low,close,volume
2021-07-21,40.27,41.34,40.27,40.82,202772
2021-07-22,40.56,40.65,39.69,39.88,131358
2021-07-23,40.51,40.78,39.83,40.105,43735
2021-07-26,40.905,41.255,40.49,41.245,102006
2021-07-27,40.91,41.08,40.24,41.02,57473
2021-07-28,41.33,41.63,39.665,40.49,92817
2021-07-29,41.02,41.67,40.84,41.26,51660
2021-07-30,41.88,43.625,41.8,42.29,191865
2021-08-02,42.69,43.76,42.3,42.33,152088
2021-08-03,42.815,43.67,41.71,43.405,106098
2021-08-04,43.175,43.9,42.685,42.74,112267
2021-08-05,43.075,43.51,42.81,43.455,69919
2021-08-06,43.86,44.17,43.485,44.0,118655
2021-08-09,43.49,43.73,43.06,43.18,76988
2021-08-10,43.45,44.76,43.23,43.835,88455
2021-08-11,43.65,44.175,43.48,44.08,61856
2021-08-12,44.22,45.02,44.16,44.715,133399
2021-08-13,44.525,44.73,43.955,44.255,76802
2021-08-16,44.27,44.27,43.36,43.81,140784
2021-08-17,43.21,43.42,41.52,42.015,224653
2021-08-18,41.625,42.77,41.42,41.44,340709
2021-08-19,40.44,41.41,39.69,40.19,332170
2021-08-20,40.39,40.585,39.115,40.57,334736
2021-08-23,41.0,42.37,40.89,42.32,219222
2021-08-24,42.66,43.915,42.625,43.31,248053
2021-08-25,43.1,43.55,42.72,43.16,92903
2021-08-26,42.73,42.84,41.42,41.84,100580
2021-08-27,42.24,42.955,42.02,42.65,82702
2021-08-30,42.705,42.705,41.215,41.26,54109
2021-08-31,41.15,41.5,39.975,40.33,154175
2021-09-01,40.96,41.18,40.4,40.54,114655
2021-09-02,40.535,41.29,40.285,40.615,110194
2021-09-03,40.39,40.74,39.94,40.59,66503
2021-09-07,40.76,41.11,40.435,40.75,132747
2021-09-08,40.31,40.38,39.24,39.36,98646
2021-09-09,39.695,40.98,39.64,40.515,102828
2021-09-10,40.84,41.285,40.445,40.46,97127
2021-09-13,40.65,40.965,40.19,40.3,86198
2021-09-14,40.33,40.57,39.58,40.06,85860
2021-09-15,39.6,39.97,39.29,39.94,125956
2021-09-16,40.18,41.5,40.16,40.71,102056
2021-09-17,41.24,41.385,40.22,40.41,50265
2021-09-20,39.08,39.63,37.43,38.02,182750
2021-09-21,38.6,39.02,38.15,38.44,106231
2021-09-22,38.92,39.44,38.5,38.98,96619
2021-09-23,39.78,40.995,39.78,40.35,114907
2021-09-24,39.35,39.845,38.46,39.46,115654
2021-09-27,39.64,40.625,39.64,40.1,97730
2021-09-28,40.09,40.46,39.45,39.56,80704
2021-09-29,39.94,39.94,38.58,38.75,144308
2021-09-30,38.27,38.28,36.55,37.04,229653
2021-10-01,37.17,38.275,36.75,38.015,54866
2021-10-04,38.18,38.78,37.64,37.99,67693
2021-10-05,38.2,39.5,38.2,38.43,118596
2021-10-06,38.04,38.42,37.235,37.62,181179
2021-10-07,38.95,39.07,38.09,38.19,114973
2021-10-08,37.95,38.11,36.83,37.37,77461
2021-10-11,37.425,37.925,37.175,37.44,164762
2021-10-12,38.02,38.58,37.29,38.38,133775
2021-10-13,38.71,38.78,38.05,38.42,110540
2021-10-14,38.94,39.49,38.73,39.17,77697
2021-10-15,39.53,39.77,39.14,39.19,53983
2021-10-18,38.5,38.69,37.88,38.56,92920
2021-10-19,38.5,38.67,38.2,38.38,90586
2021-10-20,38.79,39.32,38.505,38.63,109418
2021-10-21,38.97,39.36,38.455,38.77,120446
2021-10-22,38.575,38.92,38.39,38.61,64302
2021-10-26,39.7,40.09,39.08,39.1,132792
2021-10-27,38.63,38.83,38.035,38.06,70457
2021-10-28,38.08,39.69,38.07,39.005,315899
2021-10-29,38.96,39.41,38.58,39.005,116018
2021-11-01,38.78,39.66,38.78,39.385,219011
2021-11-02,39.61,40.0,39.28,39.64,159737
2021-11-03,41.05,42.16,40.82,41.825,199506
2021-11-04,41.87,42.93,41.855,41.94,195684
2021-11-05,42.745,43.36,42.21,42.6,239573
2021-11-08,42.77,42.85,41.885,42.34,106795
2021-11-09,42.51,42.715,41.62,42.44,189600
2021-11-10,41.95,43.25,41.87,42.62,238874
2021-11-11,44.79,47.01,44.785,46.18,698403
2021-11-12,46.34,46.73,45.41,45.555,186482
2021-11-15,45.6,45.61,44.43,44.9,133604
2021-11-16,45.06,46.05,44.97,45.57,86567
2021-11-17,45.21,45.55,44.87,45.19,69800
2021-11-18,45.86,46.01,45.33,45.83,109070
2021-11-19,45.81,46.555,45.81,45.99,88958
2021-11-22,46.31,47.01,46.1,46.21,84540
2021-11-23,45.95,46.57,45.42,45.99,112494
2021-11-24,44.55,44.77,43.685,44.065,128872
2021-11-26,42.4,42.435,41.07,41.805,129768
2021-11-29,42.42,42.7,41.22,41.71,92178
2021-11-30,41.45,41.525,39.555,40.12,132596
2021-12-01,41.13,42.11,38.89,38.89,160398
2021-12-02,39.155,41.165,39.09,40.89,169054
2021-12-03,41.29,41.68,40.12,40.82,184595
2021-12-06,41.53,42.74,41.33,42.36,181843
2021-12-07,43.15,44.22,43.11,43.69,96469
2021-12-08,43.79,43.99,43.36,43.5,129757
2021-12-09,43.29,44.35,43.195,43.21,53217
2021-12-10,43.35,43.48,42.9,43.24,129353
2021-12-13,43.165,43.51,41.33,42.03,99848
2021-12-14,41.92,42.95,41.82,42.44,138786
2021-12-15,42.44,42.44,40.58,41.75,179735
2021-12-16,42.03,42.51,41.1,41.17,257238
2021-12-17,40.94,41.67,40.175,41.255,218624
2021-12-20,40.42,40.42,38.63,39.31,332376
2021-12-21,40.035,41.18,39.97,40.93,87785
2021-12-22,40.71,41.45,40.63,41.06,60831
2021-12-23,41.215,41.55,40.955,41.275,82650
2021-12-27,41.47,41.54,40.965,41.12,94857
2021-12-28,40.96,41.69,40.565,40.6,100470
2021-12-29,40.6,40.81,40.275,40.595,129300
2021-12-30,40.61,41.205,40.54,40.82,119565
2021-12-31,40.69,40.795,39.99,40.585,73390
2022-01-03,41.05,41.76,40.71,40.81,102687
2022-01-04,41.35,42.23,41.26,41.67,66403
