date,open,high,low,close,volume
2021-07-21,42.375,43.61,42.35,42.85,87101
2021-07-22,42.53,43.075,42.19,42.835,33078
2021-07-23,42.48,42.75,42.03,42.53,40602
2021-07-26,43.09,43.6,42.95,43.47,50287
2021-07-27,42.41,42.62,41.62,42.075,30986
2021-07-28,42.26,43.26,41.57,42.85,30586
2021-07-29,43.145,43.25,42.5,42.94,16345
2021-07-30,42.76,42.95,41.99,42.085,27653
2021-08-02,42.2,43.365,41.55,41.555,36423
2021-08-03,41.16,42.09,40.33,42.09,45402
2021-08-04,41.185,42.53,40.87,41.45,51885
2021-08-05,40.46,43.43,39.86,42.39,102262
2021-08-06,42.985,43.43,42.72,42.855,49505
2021-08-09,42.08,42.895,41.75,42.64,51131
2021-08-10,43.01,44.67,42.82,44.415,103071
2021-08-11,44.115,44.275,43.2,44.19,76577
2021-08-12,44.48,44.77,43.77,44.275,33473
2021-08-13,43.88,44.26,43.65,43.955,40267
2021-08-16,43.11,44.07,43.01,43.01,65421
2021-08-17,42.795,43.72,42.35,43.225,114460
2021-08-18,43.15,43.41,42.36,42.45,62691
2021-08-19,41.575,42.12,40.55,41.13,78519
2021-08-20,40.65,41.88,40.65,41.82,51476
2021-08-23,42.96,43.45,42.91,43.04,43368
2021-08-24,43.3,44.06,43.3,43.91,41512
2021-08-25,43.615,44.755,43.47,44.41,49465
2021-08-26,44.035,44.34,43.4,43.59,65855
2021-08-27,43.96,45.36,43.96,45.17,46091
2021-08-30,45.3,45.3,44.19,44.19,52995
2021-08-31,44.02,44.36,43.765,43.91,58547
2021-09-01,43.73,44.005,43.275,43.8,67457
2021-09-02,44.67,45.2,44.32,45.04,46274
2021-09-03,44.98,45.51,44.75,45.05,22149
2021-09-07,44.81,45.48,44.35,44.41,42640
2021-09-08,44.615,45.08,44.08,44.32,56715
2021-09-09,43.93,44.59,43.63,43.945,56700
2021-09-10,44.42,44.775,43.47,43.47,30189
2021-09-13,44.155,45.13,44.155,44.76,35335
2021-09-14,45.19,45.3,43.94,44.21,42682
2021-09-15,45.03,46.75,45.01,46.73,46392
2021-09-16,46.3,46.62,45.76,46.265,44169
2021-09-17,46.45,46.45,44.91,45.03,65752
2021-09-20,43.55,44.19,43.22,44.175,212855
2021-09-21,45.11,45.22,44.23,44.74,40147
2021-09-22,45.385,46.665,45.385,46.03,45310
2021-09-23,46.395,47.56,46.31,47.44,36466
2021-09-24,47.08,47.635,46.83,47.415,29592
2021-09-27,48.56,49.69,48.36,49.445,109454
2021-09-28,50.25,50.465,49.025,49.3,91847
2021-09-29,49.44,49.85,48.71,49.5,64211
2021-09-30,49.84,50.0,48.79,49.22,139425
2021-10-01,49.595,50.82,49.37,50.75,35045
2021-10-04,51.23,52.68,50.97,52.05,77093
2021-10-05,52.46,53.115,51.55,52.22,69858
2021-10-06,51.67,51.92,50.36,51.9,47844
2021-10-07,51.94,52.66,51.81,52.33,39139
2021-10-08,52.92,52.92,52.22,52.74,46084
2021-10-11,53.51,53.83,52.66,53.03,31496
2021-10-12,52.98,54.39,52.67,53.76,110226
2021-10-13,53.41,54.25,52.67,54.225,24201
2021-10-14,54.98,55.54,54.63,55.25,32631
2021-10-15,55.63,56.45,55.63,55.745,45719
2021-10-18,56.45,57.0,55.62,56.34,43223
2021-10-19,56.77,56.81,55.9,56.2,57343
2021-10-20,56.06,57.05,55.81,56.76,59735
2021-10-21,56.47,56.71,55.14,55.69,42631
2021-10-22,56.23,56.23,54.97,56.2,42513
2021-10-26,56.84,57.415,56.105,56.15,23545
2021-10-27,55.5,55.98,54.71,54.825,34067
2021-10-28,54.395,55.29,54.255,55.29,33792
2021-10-29,55.415,55.415,54.32,54.7,37829
2021-11-01,55.34,56.05,54.78,55.88,47486
2021-11-02,55.91,56.47,55.12,55.6,98123
2021-11-03,54.99,55.9,54.775,54.97,73253
2021-11-04,55.89,56.77,55.14,55.95,115274
2021-11-05,56.46,56.85,56.005,56.705,68145
2021-11-08,56.91,58.155,56.91,57.87,71255
2021-11-09,57.83,57.93,56.82,57.26,96139
2021-11-10,57.09,57.09,54.435,54.84,63627
2021-11-11,54.7,55.38,54.625,55.255,62124
2021-11-12,54.78,55.18,53.9,54.21,88400
2021-11-15,54.57,55.68,53.99,55.12,71204
2021-11-16,55.33,55.39,54.25,54.67,60779
2021-11-17,54.7,55.69,54.41,54.63,46085
2021-11-18,54.63,55.2,53.93,54.56,67089
2021-11-19,53.425,53.87,52.77,53.57,73284
2021-11-22,53.55,54.57,53.43,53.84,56139
2021-11-23,55.14,55.755,54.24,55.58,72190
2021-11-24,55.06,56.75,54.87,56.67,56182
2021-11-26,53.18,54.84,52.21,54.43,41983
2021-11-29,55.65,55.65,53.93,53.93,62370
