date,open,high,low,close,volume
2021-07-21,54.36,55.05,54.175,54.34,71027
2021-07-22,54.33,54.415,53.855,54.35,141977
2021-07-23,54.43,55.055,54.27,54.905,56311
2021-07-26,54.645,55.12,54.51,55.07,71452
2021-07-27,54.72,55.37,54.675,55.235,66006
2021-07-28,55.36,55.47,54.98,55.09,72268
2021-07-29,55.24,55.91,55.215,55.57,59859
2021-07-30,55.88,56.28,54.84,54.985,109992
2021-08-02,55.09,55.86,54.65,55.0,64418
2021-08-03,55.04,55.17,54.64,55.145,43558
2021-08-04,55.01,55.22,54.61,54.865,45548
2021-08-05,55.165,55.42,54.68,55.245,25713
2021-08-06,55.5,55.58,54.865,54.865,31619
2021-08-09,54.66,54.88,54.36,54.615,42526
2021-08-10,54.66,54.77,53.725,53.77,55994
2021-08-11,54.0,54.115,53.24,53.3,38688
2021-08-12,53.43,53.43,53.0,53.23,34292
2021-08-13,53.42,53.58,53.1,53.49,32624
2021-08-16,53.5,53.95,53.345,53.42,60498
2021-08-17,53.21,53.22,52.31,52.995,57164
2021-08-18,52.74,53.005,52.44,52.59,33630
2021-08-19,52.34,53.14,52.24,52.995,23211
2021-08-20,52.71,53.395,52.47,53.08,30505
2021-08-23,53.22,53.28,52.5,52.63,25594
2021-08-24,52.52,52.57,51.8,52.105,47631
2021-08-25,52.15,52.7,51.91,52.18,39491
2021-08-26,52.19,52.795,52.045,52.5,43298
2021-08-27,52.65,53.23,52.56,52.855,53098
2021-08-30,52.85,53.545,52.63,53.45,40496
2021-08-31,53.32,54.085,53.205,54.06,69238
2021-09-01,54.44,55.4,54.21,55.27,59105
2021-09-02,55.49,55.635,54.76,55.47,50022
2021-09-03,55.03,55.55,54.62,55.4,69028
2021-09-07,54.845,54.94,53.13,53.86,37893
2021-09-08,53.42,54.78,53.42,54.51,36708
2021-09-09,53.79,54.28,53.53,53.55,58829
2021-09-10,53.28,53.48,52.75,52.76,36395
2021-09-13,53.41,53.92,53.18,53.335,31352
2021-09-14,53.445,53.755,53.05,53.47,30100
2021-09-15,53.385,54.145,53.375,53.655,31698
2021-09-16,53.63,54.085,53.185,53.755,38733
2021-09-17,53.32,53.81,53.0,53.2,152645
2021-09-20,52.63,53.46,52.56,53.13,98519
2021-09-21,53.63,54.03,53.29,53.29,24806
2021-09-22,53.59,54.14,53.53,53.63,73318
2021-09-23,54.24,54.565,53.91,53.98,86362
2021-09-24,54.05,54.155,53.505,53.535,70581
2021-09-27,53.52,54.02,52.61,52.71,49991
2021-09-28,52.41,52.9,52.155,52.68,43132
2021-09-29,53.16,53.84,53.16,53.52,49508
2021-09-30,53.63,53.825,52.785,52.98,63291
2021-10-01,53.44,53.82,52.48,53.52,69170
2021-10-04,53.03,53.94,53.03,53.75,62226
2021-10-05,53.77,53.81,53.19,53.57,57042
2021-10-06,53.44,54.12,52.41,54.0,65950
2021-10-07,54.1,54.15,53.28,53.525,63777
2021-10-08,53.47,53.685,53.025,53.05,36474
2021-10-11,53.37,53.56,52.44,52.915,54533
2021-10-12,53.06,53.83,52.875,53.6,79622
2021-10-13,53.655,54.5,53.24,54.36,41130
2021-10-14,54.28,55.125,54.27,55.07,26693
2021-10-15,55.3,55.3,53.785,53.955,85408
2021-10-18,53.76,54.525,53.65,54.4,51115
2021-10-19,54.72,54.72,53.905,53.915,30373
2021-10-20,53.89,54.78,53.89,54.725,42284
2021-10-21,54.76,54.865,54.51,54.79,60973
2021-10-22,54.81,55.09,54.74,54.97,27641
2021-10-26,54.73,55.52,54.28,55.13,96894
2021-10-27,55.42,56.0,54.99,55.46,53016
2021-10-28,55.5,56.42,55.5,56.25,81823
2021-10-29,55.81,56.18,55.19,55.54,62518
2021-11-01,55.55,55.58,53.83,55.05,77127
2021-11-02,55.32,55.44,54.59,55.205,60758
2021-11-03,55.36,55.48,54.74,55.16,98169
2021-11-04,54.92,55.13,53.71,54.16,58938
2021-11-05,54.71,55.25,54.6,54.84,40533
2021-11-08,54.19,54.925,54.0,54.88,62062
2021-11-09,54.95,55.22,54.69,55.2,33595
2021-11-10,54.975,55.8,54.975,55.5,38688
2021-11-11,55.37,55.88,55.09,55.85,43104
2021-11-12,55.81,56.27,55.74,55.915,40846
2021-11-15,56.05,56.905,55.85,56.905,30485
2021-11-16,56.995,57.04,56.14,56.16,52053
2021-11-17,56.0,56.37,54.24,56.34,52778
2021-11-18,56.59,56.8,56.25,56.69,47731
2021-11-19,56.57,56.57,55.62,56.15,35352
2021-11-22,55.98,56.48,55.57,55.635,46895
2021-11-23,55.83,56.805,55.83,56.7,59510
2021-11-24,56.8,57.92,56.78,57.7,106126
2021-11-26,56.88,56.91,55.55,55.74,42525
2021-11-29,56.1,57.62,55.965,57.47,135042
2021-11-30,57.17,58.17,56.78,56.78,197083
2021-12-01,57.07,57.09,54.56,54.57,86621
2021-12-02,55.02,57.06,55.02,56.68,79600
2021-12-03,56.74,57.14,55.845,56.49,137032
2021-12-06,57.23,58.15,56.92,57.45,92392
2021-12-07,57.735,59.44,57.66,58.98,418092
2021-12-08,58.65,59.135,58.21,59.11,253338
2021-12-09,59.23,59.28,58.27,58.3,65130
2021-12-10,58.4,58.47,57.91,58.44,113377
2021-12-13,58.405,59.775,58.23,59.34,57955
2021-12-14,59.55,59.58,58.11,58.51,159629
2021-12-15,58.86,59.94,58.86,59.62,92057
2021-12-16,59.565,59.7,58.1,58.68,85319
2021-12-17,58.81,59.01,57.5,57.96,92613
2021-12-20,57.335,57.95,57.2,57.68,55236
2021-12-21,58.17,58.52,57.8,58.2,42289
2021-12-22,58.32,58.94,58.06,58.78,62652
2021-12-23,59.03,59.19,58.33,58.69,52877
2021-12-27,58.6,59.44,58.6,59.44,62111
2021-12-28,59.47,59.79,59.23,59.44,73756
2021-12-29,59.23,59.975,58.99,59.82,66426
2021-12-30,59.73,60.155,59.595,59.88,58096
2021-12-31,60.02,60.385,59.88,59.98,35787
2022-01-03,60.13,60.13,58.835,59.9,70126
2022-01-04,60.16,61.035,60.15,60.81,118260
2022-01-05,60.95,60.95,59.14,59.21,105625
2022-01-06,59.6,59.75,58.98,59.22,51698
