date,open,high,low,close,volume
2021-07-21,154.46,156.48,153.46,153.68,21847
2021-07-22,153.505,153.505,149.39,150.64,30051
2021-07-23,151.81,153.07,150.94,152.62,25520
2021-07-26,153.35,156.19,152.435,154.82,58483
2021-07-27,163.76,164.22,154.86,159.26,122810
2021-07-28,160.0,160.0,155.88,157.94,77313
2021-07-29,158.49,159.485,158.11,159.07,48047
2021-07-30,159.9,160.89,159.515,160.48,43214
2021-08-02,160.72,161.745,159.12,159.66,46775
2021-08-03,158.765,160.715,156.99,160.59,27782
2021-08-04,160.61,160.61,154.41,154.44,31229
2021-08-05,155.13,155.13,151.24,152.43,15934
2021-08-06,153.355,153.59,152.14,152.7,12792
2021-08-09,150.98,150.98,149.67,150.5,14469
2021-08-10,149.58,151.0,146.6,147.12,46650
2021-08-11,146.97,148.475,145.59,148.465,29786
2021-08-12,144.825,148.97,144.825,148.45,46405
2021-08-13,148.62,149.5,148.3,149.5,18728
2021-08-16,148.38,151.73,148.38,151.375,12660
2021-08-17,150.37,151.88,150.335,151.88,14504
2021-08-18,150.56,150.85,148.765,148.765,28259
2021-08-19,147.25,151.51,147.25,150.87,23123
2021-08-20,151.99,154.92,151.78,153.36,18564
2021-08-23,152.56,153.87,152.06,153.3,10940
2021-08-24,153.595,155.34,152.12,154.58,19473
2021-08-25,153.49,157.3,153.49,155.16,13776
2021-08-26,154.93,154.965,153.13,154.555,27929
2021-08-27,154.185,157.175,154.185,156.8,13702
2021-08-30,156.24,157.145,155.99,155.99,35809
2021-08-31,155.825,157.37,155.34,155.66,36102
2021-09-01,156.0,156.58,153.765,155.4,16254
2021-09-02,155.21,157.29,155.21,157.07,13030
2021-09-03,156.415,156.98,154.89,156.19,19135
2021-09-07,155.1,156.165,154.215,155.42,17514
2021-09-08,151.2,151.2,147.295,148.71,52853
2021-09-09,148.455,152.28,148.455,150.1,28107
2021-09-10,149.82,149.82,147.005,147.4,19755
2021-09-13,147.61,150.21,147.54,149.96,23669
2021-09-14,150.36,151.12,146.75,146.85,46903
2021-09-15,145.545,147.215,144.53,146.53,37019
2021-09-16,146.87,147.59,145.36,146.89,27068
2021-09-17,147.14,147.14,144.62,145.89,30322
2021-09-20,143.28,145.17,143.28,144.58,31896
2021-09-21,145.785,147.42,145.19,145.25,19922
2021-09-22,146.28,147.45,145.41,145.7,25883
2021-09-23,146.27,146.68,144.38,144.38,68687
2021-09-24,141.725,145.37,141.725,144.725,75155
2021-09-27,145.46,147.5,144.49,144.84,26621
2021-09-28,144.64,145.16,143.37,143.63,44649
2021-09-29,143.6,144.1,142.885,143.26,30092
2021-09-30,143.875,143.875,138.3,138.3,29600
2021-10-01,138.17,139.51,137.125,138.8,58780
2021-10-04,138.53,140.96,135.455,135.95,29267
2021-10-05,135.73,136.175,133.715,133.85,23150
2021-10-06,132.93,132.93,129.405,132.47,30257
2021-10-07,133.395,134.45,132.75,133.075,16090
2021-10-08,132.36,132.87,130.275,130.375,16780
2021-10-11,130.8,131.1,130.09,130.09,21405
2021-10-12,130.56,130.95,128.84,128.87,35567
2021-10-13,127.01,129.94,126.44,129.12,47782
2021-10-14,129.97,131.17,129.72,129.98,38018
2021-10-15,131.65,133.92,131.49,133.0,83155
2021-10-18,131.16,132.67,130.83,132.66,15146
2021-10-19,133.92,134.435,132.17,132.17,28003
2021-10-20,132.93,135.12,132.93,133.76,77233
2021-10-21,135.25,137.48,134.4,137.41,39170
2021-10-22,135.18,138.02,134.87,135.66,28149
