date,open,high,low,close,volume
2021-07-21,216.88,219.15,216.68,217.15,103907
2021-07-22,222.915,224.33,219.05,219.565,391344
2021-07-23,220.495,221.23,219.54,220.03,195181
2021-07-26,219.81,221.98,218.61,220.2,112188
2021-07-27,219.16,220.335,217.23,218.03,168493
2021-07-28,218.57,218.92,215.59,216.55,147520
2021-07-29,218.84,219.58,217.275,217.29,123967
2021-07-30,216.935,219.48,216.86,218.75,102064
2021-08-02,220.28,220.86,217.45,217.49,107830
2021-08-03,218.3,220.7,217.31,219.98,146975
2021-08-04,219.49,219.49,217.22,217.67,77372
2021-08-05,218.56,219.51,217.58,219.15,159695
2021-08-06,219.815,221.7,219.815,220.52,153610
2021-08-09,220.165,220.58,219.44,219.935,114840
2021-08-10,220.38,222.895,219.605,221.66,104939
2021-08-11,222.85,226.545,222.18,226.385,215370
2021-08-12,225.17,227.79,225.165,227.61,89359
2021-08-13,227.87,228.56,226.61,227.71,96022
2021-08-16,227.14,228.02,225.08,227.535,88432
2021-08-17,226.12,226.49,223.2,225.94,103148
2021-08-18,224.68,228.21,224.61,224.63,104429
2021-08-19,223.14,225.43,222.42,223.85,113326
2021-08-20,224.24,224.68,223.15,223.68,66560
2021-08-23,224.01,226.01,223.535,223.79,86582
2021-08-24,224.06,224.225,221.11,221.245,206933
2021-08-25,221.575,221.83,220.445,221.25,43495
2021-08-26,221.21,222.18,219.57,221.085,124075
2021-08-27,221.445,222.5,221.155,221.5,93901
2021-08-30,220.15,220.615,218.93,219.07,222178
2021-08-31,219.61,219.85,215.54,216.885,221709
2021-09-01,216.05,218.54,214.85,216.85,227882
2021-09-02,217.265,219.1,216.88,217.52,165082
2021-09-03,217.0,217.33,214.46,214.91,208420
2021-09-07,214.76,216.75,212.73,212.95,225965
2021-09-08,213.235,215.925,212.31,215.71,197863
2021-09-09,214.55,215.145,209.05,210.03,211312
2021-09-10,211.255,211.8,207.64,207.76,188724
2021-09-13,209.35,209.46,205.24,206.745,354849
2021-09-14,207.45,207.45,202.61,203.45,297046
2021-09-15,203.53,204.52,202.63,204.32,224812
2021-09-16,204.63,205.845,203.14,203.43,128541
2021-09-17,203.13,204.33,200.92,201.46,165286
2021-09-20,198.48,199.91,195.77,197.84,150108
2021-09-21,198.63,199.52,196.27,196.61,95244
2021-09-22,198.36,200.145,197.71,198.07,100204
2021-09-23,199.61,203.26,199.61,201.69,210657
2021-09-24,201.18,204.82,201.18,203.8,241333
2021-09-27,204.17,206.43,203.825,203.95,103861
2021-09-28,202.37,202.705,199.74,201.2,179969
2021-09-29,201.295,202.5,201.0,201.67,125122
2021-09-30,202.16,202.29,195.97,195.97,150431
2021-10-01,197.69,202.865,197.29,201.73,113554
2021-10-04,204.245,206.57,203.6,205.53,309206
2021-10-05,205.51,211.96,205.19,209.91,286826
2021-10-06,208.43,212.92,206.645,212.44,137528
2021-10-07,214.8,215.45,211.38,211.895,151147
2021-10-08,215.15,216.615,214.49,216.48,151988
2021-10-11,216.76,218.07,214.9,214.9,84841
2021-10-12,215.145,215.15,213.04,213.515,169840
2021-10-13,213.815,216.54,213.31,215.83,119695
2021-10-14,217.96,221.53,217.575,221.25,192140
2021-10-15,222.47,225.625,221.95,225.13,87432
2021-10-18,224.37,226.52,222.9,225.86,136695
2021-10-19,227.27,227.28,224.87,225.74,79964
2021-10-20,226.08,228.29,224.35,228.025,142770
2021-10-21,229.06,232.0,227.17,231.37,182766
2021-10-22,233.295,239.65,232.46,237.495,186984
2021-10-26,241.08,243.91,239.77,240.61,102876
2021-10-27,240.96,243.22,239.34,239.34,193749
2021-10-28,240.1,242.415,240.1,242.22,89002
2021-10-29,239.93,242.775,239.4,241.38,162649
2021-11-01,241.875,241.91,237.7,239.42,152989
2021-11-02,240.41,242.39,238.82,240.32,106394
2021-11-03,240.05,240.5,237.1,239.38,87696
2021-11-04,238.87,239.88,236.0,237.15,224956
2021-11-05,239.01,240.22,238.37,238.79,160085
2021-11-08,239.78,239.78,237.67,239.325,143266
2021-11-09,238.89,241.07,238.45,241.0,172205
2021-11-10,241.75,242.415,240.63,241.45,135401
2021-11-11,240.7,241.105,239.08,240.57,138814
2021-11-12,240.94,244.0,240.07,242.435,87951
2021-11-15,242.27,242.85,240.885,241.4,132652
2021-11-16,242.25,244.3,240.98,241.52,82922
