date,open,high,low,close,volume
2021-07-21,315.195,323.84,315.195,323.05,58312
2021-07-22,321.79,322.93,317.02,319.98,48015
2021-07-23,323.54,324.795,318.5,324.01,33288
2021-07-26,324.69,329.08,324.69,327.73,44826
2021-07-27,326.62,331.85,323.92,326.55,57662
2021-07-28,328.59,331.27,320.905,326.85,53496
2021-07-29,315.91,325.615,309.66,322.32,166110
2021-07-30,321.78,331.73,321.26,330.06,67899
2021-08-02,331.425,336.115,325.53,326.27,103821
2021-08-03,328.7,338.565,323.03,338.17,50165
2021-08-04,335.18,335.18,323.55,323.55,51875
2021-08-05,327.36,330.61,324.635,325.09,14759
2021-08-06,330.795,331.93,327.66,330.93,23567
2021-08-09,331.26,336.155,328.09,332.46,18679
2021-08-10,333.905,342.51,330.535,340.57,34883
2021-08-11,343.775,357.68,341.57,357.415,77524
2021-08-12,359.075,364.26,356.64,361.425,65513
2021-08-13,360.19,360.68,351.25,352.99,41106
2021-08-16,348.2,352.57,346.49,351.27,13633
2021-08-17,347.855,348.715,340.17,345.35,47971
2021-08-18,343.39,349.815,340.11,340.11,21942
2021-08-19,334.83,335.89,329.39,331.275,26237
2021-08-20,330.485,332.005,325.65,329.66,28006
2021-08-23,333.06,339.345,331.76,338.21,22622
2021-08-24,339.94,346.21,339.94,343.965,37106
2021-08-25,344.69,353.985,344.48,350.41,38241
2021-08-26,349.67,352.04,346.34,347.65,25522
2021-08-27,352.505,356.66,351.555,355.35,45079
2021-08-30,355.04,357.29,352.555,354.24,18216
2021-08-31,354.5,356.525,351.85,352.73,40643
2021-09-01,351.26,351.26,344.15,347.435,30683
2021-09-02,350.95,356.44,348.555,353.78,24780
2021-09-03,350.0,352.78,347.94,350.97,14788
2021-09-07,347.545,350.49,345.56,345.92,16429
2021-09-08,344.03,344.325,336.42,339.665,39766
2021-09-09,339.0,346.41,338.22,342.22,30659
2021-09-10,346.24,347.48,341.42,341.42,23082
2021-09-13,343.16,346.56,340.63,343.29,26580
2021-09-14,342.18,342.18,328.33,331.49,28910
2021-09-15,331.91,342.47,330.615,341.7,30296
2021-09-16,344.26,354.37,344.26,346.22,57980
2021-09-17,346.68,346.68,338.42,341.425,37042
2021-09-20,328.5,333.18,323.925,329.79,39165
2021-09-21,333.16,333.16,325.77,330.41,42796
2021-09-22,337.66,349.35,337.66,345.9,61237
2021-09-23,347.7,361.54,346.04,355.24,73221
2021-09-24,353.67,360.99,353.67,356.5,26182
2021-09-27,360.65,369.17,360.65,365.8,40899
2021-09-28,365.97,367.78,358.37,363.12,45514
2021-09-29,363.77,364.71,360.29,362.0,39444
2021-09-30,358.14,363.125,351.05,351.09,79757
2021-10-01,352.44,360.885,351.07,357.725,69616
2021-10-04,357.29,357.29,346.405,348.705,42853
2021-10-05,352.56,357.275,346.57,352.97,88951
2021-10-06,350.63,351.73,340.95,346.545,48483
2021-10-07,352.19,357.33,350.41,352.28,20130
2021-10-08,349.01,351.59,342.51,342.51,29155
2021-10-11,342.99,349.42,342.48,342.66,43412
2021-10-12,346.725,347.265,340.98,342.49,25682
2021-10-13,342.965,346.68,336.97,339.45,27869
2021-10-14,344.01,353.04,343.06,352.76,83228
2021-10-15,358.59,359.495,348.73,349.31,41354
2021-10-18,347.06,350.5,344.08,350.09,38188
2021-10-19,350.85,357.37,350.39,353.47,18043
2021-10-20,351.335,367.005,351.335,366.3,54046
2021-10-21,361.33,366.49,359.45,365.67,21544
2021-10-22,367.18,370.38,364.715,368.33,27559
2021-10-26,369.205,369.205,357.205,357.205,36503
2021-10-27,355.96,359.43,347.005,347.35,27551
2021-10-28,360.48,372.8,351.125,367.11,109245
2021-10-29,368.5,380.095,368.5,379.44,57225
2021-11-01,380.11,384.8,379.87,383.24,41052
2021-11-02,384.63,391.57,383.47,385.89,25223
2021-11-03,385.48,386.175,377.155,381.59,45432
2021-11-04,383.9,387.35,382.03,385.56,26330
2021-11-05,391.81,396.775,390.53,392.12,29619
2021-11-08,412.245,414.3,392.565,392.61,72928
2021-11-09,391.895,392.45,388.38,391.275,25473
2021-11-10,390.25,390.25,377.65,379.88,50743
