date,open,high,low,close,volume
2021-07-21,242.82,245.75,242.34,243.67,489032
2021-07-22,243.83,245.32,243.15,244.06,502149
2021-07-23,247.81,250.005,247.17,249.13,298940
2021-07-26,249.0,250.29,247.735,250.2,140676
2021-07-27,249.055,252.64,248.235,250.87,258401
2021-07-28,249.35,251.48,245.93,246.77,570989
2021-07-29,248.28,250.335,247.165,247.89,212960
2021-07-30,247.39,248.4,246.01,246.36,148894
2021-08-02,246.52,247.8,238.43,239.89,519790
2021-08-03,240.73,241.39,234.03,237.1,450190
2021-08-04,236.97,237.54,235.085,236.73,321692
2021-08-05,237.08,240.25,236.47,240.25,265247
2021-08-06,240.37,242.58,239.9,241.4,170977
2021-08-09,242.0,242.0,238.05,240.055,194359
2021-08-10,240.66,241.21,235.58,238.14,195382
2021-08-11,238.27,238.36,234.83,234.93,217910
2021-08-12,233.73,233.73,231.19,231.78,643465
2021-08-13,232.06,233.19,231.435,232.68,167253
2021-08-16,232.26,235.48,230.21,235.39,427048
2021-08-17,235.01,235.665,233.23,234.46,230117
2021-08-18,234.21,234.21,231.5,231.56,165926
2021-08-19,229.04,232.43,229.04,231.55,143712
2021-08-20,231.47,232.15,230.365,231.39,182793
2021-08-23,232.79,234.63,232.12,234.12,165050
2021-08-24,235.3,236.07,233.95,234.25,124711
2021-08-25,234.71,234.71,232.13,232.58,125608
2021-08-26,232.55,232.565,230.19,230.55,307235
2021-08-27,230.875,233.04,230.23,232.63,154093
2021-08-30,232.7,233.54,229.945,231.2,153019
2021-08-31,230.95,231.7,228.69,229.06,172494
2021-09-01,229.98,230.725,228.89,230.14,710254
2021-09-02,230.375,230.375,222.0,224.09,1259885
2021-09-03,224.0,227.29,223.36,225.01,392478
2021-09-07,226.9,227.99,225.88,226.3,551401
2021-09-08,227.31,230.175,227.26,229.23,307800
2021-09-09,229.36,229.98,227.23,227.47,117142
2021-09-10,229.9,229.9,224.89,224.9,228691
2021-09-13,225.75,227.15,223.42,224.57,233000
2021-09-14,225.14,225.735,222.28,222.92,256244
2021-09-15,222.54,224.815,221.39,223.76,325720
2021-09-16,223.97,225.07,222.8,224.28,251809
2021-09-17,222.81,223.7,219.365,221.73,545533
2021-09-20,216.93,220.395,216.34,219.97,275162
2021-09-21,221.02,222.15,219.04,220.34,211136
2021-09-22,221.5,224.09,221.13,222.73,172633
2021-09-23,224.98,228.685,224.47,228.23,277183
2021-09-24,228.86,231.94,228.66,231.61,292592
2021-09-27,232.28,233.275,228.86,229.62,208147
2021-09-28,228.54,228.58,224.065,225.75,267236
2021-09-29,226.09,229.0,226.09,226.665,251591
2021-09-30,227.57,228.76,222.69,222.73,336475
2021-10-01,224.09,231.54,223.51,230.51,418117
2021-10-04,230.16,230.16,220.88,224.77,411167
2021-10-05,225.61,227.38,223.92,224.27,293118
2021-10-06,222.15,226.62,221.3,226.59,193353
2021-10-07,228.76,231.14,228.54,230.6,186806
2021-10-08,231.17,232.63,230.195,230.26,167037
2021-10-11,230.22,230.23,224.88,225.16,254184
2021-10-12,225.53,226.21,222.98,224.06,217873
2021-10-13,223.98,225.77,218.66,222.46,499230
2021-10-14,223.99,225.63,223.09,225.2,185161
2021-10-15,227.185,231.075,226.855,231.04,220275
2021-10-18,230.15,232.74,228.24,230.71,209844
2021-10-19,231.97,233.63,230.71,233.55,192042
