date,open,high,low,close,volume
2021-07-21,63.5,65.64,63.49,64.91,143826
2021-07-22,64.545,64.58,62.93,63.44,177488
2021-07-23,63.47,64.09,63.155,63.71,181627
2021-07-26,64.81,65.95,64.665,65.495,129705
2021-07-27,64.78,65.625,63.96,65.57,218011
2021-07-28,66.155,67.97,65.54,67.3,215500
2021-07-29,68.95,69.485,67.36,67.655,212784
2021-07-30,66.72,68.195,66.35,66.975,159093
2021-08-02,67.085,69.19,66.305,66.39,125720
2021-08-03,66.3,69.03,66.09,69.01,197768
2021-08-04,66.33,66.86,64.185,64.185,154879
2021-08-05,64.935,66.615,64.91,65.71,88682
2021-08-06,66.89,66.98,65.65,66.49,78213
2021-08-09,65.48,66.33,65.1,65.965,73781
2021-08-10,66.36,67.16,65.89,66.905,86859
2021-08-11,66.57,66.85,65.265,66.85,108745
2021-08-12,66.895,67.28,66.105,67.255,75026
2021-08-13,66.9,67.43,66.15,66.23,39452
2021-08-16,65.28,65.305,63.965,64.53,47256
2021-08-17,63.39,64.535,62.94,63.475,61760
2021-08-18,63.31,64.63,62.2,62.22,86196
2021-08-19,60.725,61.375,59.335,60.25,93634
2021-08-20,59.41,60.385,58.86,60.21,100745
2021-08-23,61.9,63.16,61.86,63.1,112445
2021-08-24,64.1,65.51,63.755,65.23,108449
2021-08-25,65.155,66.82,64.975,66.35,112278
2021-08-26,65.66,66.53,65.365,65.45,50949
2021-08-27,66.41,67.945,66.41,67.11,77128
2021-08-30,67.81,67.88,66.0,66.0,97591
2021-08-31,65.81,66.965,65.26,66.3,137503
2021-09-01,66.465,66.655,63.26,63.93,165248
2021-09-02,64.88,65.99,63.97,65.22,82303
2021-09-03,65.19,65.91,64.16,64.71,64284
2021-09-07,64.95,66.41,64.77,65.54,78881
2021-09-08,66.05,66.21,63.67,63.67,134301
2021-09-09,62.95,65.05,62.95,63.55,88415
2021-09-10,64.23,64.345,62.76,63.395,126241
2021-09-13,64.67,66.68,64.39,66.19,91969
2021-09-14,67.1,67.1,64.48,64.71,88616
2021-09-15,65.48,66.685,65.16,66.54,138324
2021-09-16,66.49,66.61,65.395,65.44,72210
2021-09-17,65.29,66.44,65.07,65.6,88883
2021-09-20,63.5,64.16,61.9,62.96,67985
2021-09-21,63.6,63.945,62.315,63.33,54732
2021-09-22,64.8,66.61,64.64,65.33,142296
2021-09-23,65.61,67.335,65.61,67.18,89541
2021-09-24,66.5,67.97,66.44,67.61,69929
2021-09-27,69.33,71.72,69.33,70.81,136928
2021-09-28,71.95,72.9,71.03,71.19,158016
2021-09-29,70.655,70.98,69.655,70.27,82949
2021-09-30,70.25,71.445,69.44,70.54,104881
2021-10-01,70.91,73.98,70.91,73.595,130659
2021-10-04,74.185,75.63,73.81,75.05,137580
2021-10-05,75.89,76.8,72.98,74.29,145535
2021-10-06,73.44,75.8,72.41,75.365,148056
2021-10-07,75.79,77.01,75.61,75.88,128123
2021-10-08,76.66,78.805,76.63,78.61,121192
2021-10-11,80.0,80.13,77.79,77.79,115421
