date,open,high,low,close,volume
2021-07-21,60.38,61.06,60.305,60.39,77689
2021-07-22,59.92,60.13,59.31,60.075,54390
2021-07-23,60.46,60.71,59.69,59.855,119964
2021-07-26,59.78,60.17,59.2,59.75,48914
2021-07-27,59.39,60.4,59.17,60.04,55030
2021-07-28,60.12,60.32,59.29,59.55,54434
2021-07-29,59.82,60.3,59.58,59.615,38345
2021-07-30,59.66,60.85,59.63,59.78,59149
2021-08-02,60.0,61.01,59.21,59.25,58235
2021-08-03,59.31,59.53,58.62,59.46,56514
2021-08-04,59.09,59.605,58.57,58.735,64532
2021-08-05,59.38,59.955,59.305,59.945,40507
2021-08-06,60.33,60.76,58.04,58.28,120240
2021-08-09,57.86,57.86,57.04,57.41,139422
2021-08-10,57.34,57.63,56.79,56.825,395266
2021-08-11,57.09,57.42,56.53,56.89,164927
2021-08-12,57.02,57.03,56.24,56.57,106927
2021-08-13,56.85,57.115,56.36,57.1,170250
2021-08-16,56.58,57.26,56.17,56.52,36039
2021-08-17,56.14,56.4,55.22,56.22,59505
2021-08-18,55.96,55.96,55.09,55.31,80468
2021-08-19,54.98,55.445,53.95,54.485,61523
2021-08-20,54.31,55.05,53.6,54.58,95611
2021-08-23,55.01,55.01,53.88,54.23,37552
2021-08-24,54.26,54.69,53.82,54.56,66390
2021-08-25,54.33,55.74,54.33,55.14,152029
2021-08-26,55.22,55.46,54.51,54.52,34983
2021-08-27,54.95,56.04,54.71,55.31,66526
2021-08-30,55.12,55.58,54.815,55.435,59300
2021-08-31,55.43,56.07,55.43,55.95,78056
2021-09-01,56.535,57.08,56.09,56.55,85512
2021-09-02,56.62,56.79,56.175,56.69,118549
2021-09-03,56.32,56.48,55.82,56.31,60476
2021-09-07,57.07,57.07,55.09,55.83,58380
2021-09-08,55.39,56.525,55.39,56.305,60992
2021-09-09,55.94,57.055,55.94,56.2,88977
2021-09-10,56.28,56.6,55.65,56.19,71506
2021-09-13,56.77,58.15,56.52,57.66,242268
2021-09-14,57.715,58.15,56.79,57.365,157948
2021-09-15,57.39,57.805,57.095,57.12,106367
2021-09-16,57.04,58.28,57.04,57.685,197083
2021-09-17,57.67,57.68,56.98,57.1,107284
2021-09-20,56.6,57.69,55.73,56.48,120630
2021-09-21,57.08,57.6,56.37,56.37,117932
2021-09-22,56.72,56.92,56.08,56.2,67473
2021-09-23,56.61,57.14,56.465,56.49,95942
2021-09-24,56.28,56.6,55.01,55.39,177916
2021-09-27,55.635,56.65,55.53,55.6,112321
2021-09-28,55.405,55.78,55.03,55.37,83986
2021-09-29,55.39,56.395,55.39,56.385,123774
2021-09-30,56.0,56.0,55.01,55.23,91905
2021-10-01,55.58,56.4,54.99,56.08,34454
2021-10-04,56.195,56.63,55.92,56.26,42132
2021-10-05,56.05,56.19,53.96,54.17,145442
2021-10-06,53.7,54.51,52.805,54.46,96357
2021-10-07,54.48,55.27,54.48,54.71,59093
2021-10-08,54.59,55.035,54.54,54.58,36050
2021-10-11,54.15,54.84,54.15,54.65,30786
2021-10-12,54.43,55.53,54.43,54.89,96116
2021-10-13,54.505,55.12,54.29,55.12,63628
2021-10-14,55.36,56.33,55.36,55.93,36937
2021-10-15,56.315,56.47,55.78,55.98,60700
2021-10-18,55.79,55.92,55.39,55.73,75734
2021-10-19,55.81,56.15,55.5,55.86,37047
2021-10-20,55.89,56.91,55.695,56.9,41271
2021-10-21,56.775,56.86,55.96,56.17,39307
2021-10-22,56.03,56.36,55.0,55.04,44863
2021-10-26,54.61,54.79,54.2,54.42,68050
2021-10-27,54.61,55.23,54.22,54.92,70551
