date,open,high,low,close,volume
2021-07-21,64.445,65.18,61.52,64.42,353180
2021-07-22,64.315,64.315,62.27,63.085,203747
2021-07-23,63.45,63.81,62.485,63.72,92558
2021-07-26,63.72,65.41,63.55,64.26,94952
2021-07-27,63.635,63.635,60.895,62.36,174089
2021-07-28,62.79,64.13,62.62,63.52,95061
2021-07-29,63.595,65.2,63.56,64.46,121266
2021-07-30,63.91,65.34,63.74,64.89,89457
2021-08-02,65.54,66.74,64.565,64.7,120618
2021-08-03,65.18,66.24,63.95,66.09,87928
2021-08-04,65.2,66.18,64.84,64.91,119256
2021-08-05,65.02,67.26,64.68,67.04,271666
2021-08-06,67.66,68.83,66.89,68.79,154642
2021-08-09,68.7,68.7,66.81,67.6,346894
2021-08-10,67.275,67.42,65.31,65.48,704994
2021-08-11,65.63,66.895,65.065,66.7,242850
2021-08-12,65.25,65.25,60.72,62.375,529815
2021-08-13,62.42,64.08,62.29,63.16,239935
2021-08-16,62.62,63.505,61.69,61.84,86462
2021-08-17,60.745,62.34,60.41,61.09,99132
2021-08-18,61.42,62.6,61.03,61.03,105958
2021-08-19,60.73,60.9,59.32,59.55,183987
2021-08-20,59.71,60.215,59.05,60.01,62096
2021-08-23,60.61,62.505,60.34,62.27,96404
2021-08-24,61.77,61.77,59.27,60.775,188577
2021-08-25,61.07,69.92,60.89,65.52,534939
2021-08-26,66.13,66.13,62.215,62.64,171260
2021-08-27,62.05,64.11,62.05,63.215,91255
2021-08-30,63.79,63.795,61.8,62.08,74103
2021-08-31,62.11,64.21,61.855,63.21,114317
2021-09-01,63.61,63.61,61.0,61.04,156235
2021-09-02,61.2,61.955,60.21,61.64,110069
2021-09-03,61.98,62.53,60.83,61.42,72520
2021-09-07,60.95,61.72,60.28,60.4,54922
2021-09-08,59.24,59.42,57.325,58.07,245625
2021-09-09,57.665,59.44,57.23,58.74,136148
2021-09-10,59.25,59.605,57.88,57.98,65077
2021-09-13,58.31,59.155,57.97,58.51,61357
2021-09-14,58.7,58.7,57.36,57.52,95126
2021-09-15,57.52,58.77,57.35,58.22,96198
2021-09-16,57.95,58.7,57.8,58.26,79707
2021-09-17,58.045,58.055,57.455,57.96,48485
2021-09-20,56.465,57.05,55.63,56.61,146846
2021-09-21,56.98,57.04,55.5,55.51,99222
2021-09-22,56.24,57.025,55.75,56.58,57630
2021-09-23,56.73,57.725,56.05,57.52,81077
2021-09-24,56.87,58.1,56.775,57.96,57539
2021-09-27,57.965,59.83,57.965,59.06,97958
2021-09-28,58.59,59.07,57.69,58.35,162310
2021-09-29,58.23,58.41,56.62,56.72,115999
2021-09-30,57.1,57.47,56.46,56.46,66952
2021-10-01,56.97,57.31,55.55,57.06,47210
2021-10-04,56.83,57.73,56.57,56.98,109305
2021-10-05,56.64,57.61,56.23,56.97,69226
2021-10-06,55.82,56.59,55.11,56.44,129282
2021-10-07,56.99,57.925,56.98,57.38,84172
2021-10-08,57.71,57.71,56.52,56.56,87850
2021-10-11,56.47,57.18,56.17,56.17,71751
2021-10-12,56.13,56.33,53.61,54.2,195814
2021-10-13,54.72,55.575,54.09,54.18,164048
2021-10-14,54.82,57.045,54.56,56.56,131777
2021-10-15,55.64,56.25,55.19,55.44,108119
2021-10-18,54.94,55.89,54.68,55.4,60822
2021-10-19,55.15,55.7,54.6,55.65,156457
2021-10-20,54.87,56.775,54.59,56.4,90321
2021-10-21,55.87,56.85,55.6,56.85,63336
2021-10-22,57.76,58.91,56.61,57.06,122483
2021-10-25,57.7,57.785,56.625,56.8,74298
2021-10-26,57.07,57.11,56.3,56.3,42519
2021-10-27,56.21,56.25,54.93,55.5,76629
2021-10-28,56.105,57.29,55.99,57.29,148039
2021-10-29,50.02,53.42,49.565,52.255,650164
2021-11-01,52.2,54.76,52.2,54.18,161671
2021-11-02,54.37,55.36,53.97,55.05,111008
2021-11-03,54.74,55.95,54.57,55.76,99270
2021-11-04,55.83,55.855,54.325,55.07,134877
2021-11-05,55.3,56.68,55.3,56.18,83133
2021-11-08,56.41,57.74,55.585,55.8,108680
2021-11-09,55.785,56.86,55.71,56.2,148616
2021-11-10,55.885,56.4,54.88,55.26,183843
2021-11-11,55.595,58.91,55.51,58.9,231685
2021-11-12,59.64,62.39,59.16,60.56,354484
2021-11-15,60.44,60.65,58.74,58.97,101899
2021-11-16,59.005,59.26,58.08,58.46,104946
2021-11-17,58.22,58.31,55.75,56.49,327358
2021-11-18,56.655,56.655,54.83,55.73,209366
2021-11-19,55.395,57.55,55.1,56.0,143668
2021-11-22,56.2,57.62,55.43,56.95,126698
2021-11-23,59.44,61.2,59.09,60.54,391968
2021-11-24,59.85,60.37,59.15,59.86,82122
2021-11-26,58.29,58.38,56.89,57.72,120960
2021-11-29,58.8,59.1,57.735,58.94,163327
2021-11-30,58.08,59.0,56.71,57.89,152773
2021-12-01,58.76,60.725,57.68,57.7,160237
2021-12-02,57.52,57.58,56.36,56.96,162410
2021-12-03,56.83,58.05,56.26,57.54,170528
2021-12-06,58.005,58.215,55.935,57.05,95162
2021-12-07,58.37,59.88,57.91,59.15,136836
2021-12-08,59.01,59.42,58.19,58.98,158568
2021-12-09,58.41,58.605,57.02,57.33,114339
2021-12-10,57.35,57.96,56.83,57.89,97670
2021-12-13,58.16,58.2,55.665,55.82,117569
2021-12-14,55.23,56.505,55.1,55.62,164695
2021-12-15,55.565,56.53,54.4,56.33,113396
2021-12-16,56.74,58.14,56.45,56.66,144042
2021-12-17,56.48,57.45,55.74,56.82,73530
2021-12-20,55.98,56.49,55.18,55.91,158280
2021-12-21,57.85,59.05,57.34,59.03,115824
2021-12-22,58.95,60.015,58.74,59.81,112041
2021-12-23,59.97,61.82,59.93,61.22,176586
2021-12-27,61.74,62.53,61.58,62.095,55225
2021-12-28,62.11,62.935,61.92,62.9,86820
2021-12-29,64.46,67.24,64.38,66.07,524617
2021-12-30,65.35,66.45,65.21,65.37,86246
2021-12-31,65.375,66.1,65.175,65.23,95816
2022-01-03,65.745,66.21,65.11,65.96,129770
2022-01-04,66.06,67.89,65.94,67.63,143532
2022-01-05,67.87,69.345,67.1,67.13,260234
2022-01-06,67.66,68.445,64.52,64.72,365217
2022-01-07,64.59,66.21,64.59,65.87,171651
2022-01-10,65.19,65.94,63.735,65.56,164828
2022-01-11,65.275,66.12,64.24,65.99,126135
2022-01-12,66.72,67.43,65.65,66.55,66321
2022-01-13,67.005,67.63,66.155,66.44,110916
2022-01-14,66.13,67.4,66.1,66.61,96881
2022-01-18,65.785,65.8,63.83,64.15,176185
2022-01-19,64.99,66.09,61.87,61.935,195160
2022-01-20,62.49,62.53,59.77,59.89,189186
2022-01-21,59.34,59.68,57.54,57.78,217062
