date,open,high,low,close,volume
2021-07-21,145.52,145.92,144.6,144.785,26098
2021-07-22,145.0,145.28,144.25,144.98,28867
2021-07-23,145.175,146.83,145.13,146.34,31438
2021-07-26,146.02,147.005,145.76,146.77,58123
2021-07-27,148.435,149.87,146.85,146.97,120499
2021-07-28,146.94,146.97,145.37,145.71,33000
2021-07-29,146.73,147.1,146.15,146.19,34914
2021-07-30,146.425,148.64,146.14,148.21,37894
2021-08-02,148.72,149.1,146.635,147.25,25350
2021-08-03,147.84,149.46,147.62,149.46,22783
2021-08-04,149.02,150.79,148.81,148.86,33587
2021-08-05,149.53,149.74,147.77,148.31,42876
2021-08-06,148.29,149.4,147.53,147.855,71222
2021-08-09,148.08,148.13,146.93,147.2,20042
2021-08-10,147.23,147.98,146.85,147.02,33887
2021-08-11,147.81,149.14,147.63,149.13,37949
2021-08-12,149.01,150.24,148.97,150.06,59337
2021-08-13,150.41,151.05,149.935,150.645,45778
2021-08-16,150.25,151.995,150.25,151.995,43115
2021-08-17,151.94,152.385,150.88,151.6,44484
2021-08-18,151.43,151.69,149.46,149.49,27616
2021-08-19,148.595,151.89,148.4,151.67,45654
2021-08-20,151.7,153.29,151.44,153.0,35404
2021-08-23,153.09,153.25,151.73,151.82,25151
2021-08-24,151.82,152.545,151.34,152.29,27862
2021-08-25,152.285,153.175,151.97,152.8,34953
2021-08-26,152.81,153.83,152.7,153.65,49877
2021-08-27,154.2,154.63,153.725,154.14,41455
2021-08-30,154.23,155.33,154.12,155.13,19169
2021-08-31,155.36,155.615,154.4,155.11,45278
2021-09-01,154.81,156.305,154.275,155.87,49212
2021-09-02,155.875,156.43,155.29,155.78,54886
2021-09-03,156.06,156.13,155.32,155.45,42756
2021-09-07,155.35,155.35,153.13,153.25,51280
2021-09-08,153.03,154.81,152.83,154.25,54073
2021-09-09,154.19,154.51,153.57,153.77,63727
2021-09-10,154.135,154.88,153.7,154.48,27995
2021-09-13,155.225,156.71,154.23,155.11,65487
2021-09-14,155.56,155.67,154.28,154.56,25235
2021-09-15,154.47,156.3,154.29,155.61,31609
2021-09-16,156.075,156.075,153.86,153.91,20263
2021-09-17,153.24,153.37,152.305,152.67,42595
2021-09-20,150.815,152.95,150.66,152.67,57612
2021-09-21,153.17,154.25,152.72,152.8,34616
2021-09-22,153.23,154.115,152.74,153.2,35082
2021-09-23,154.06,154.91,153.28,153.48,25725
2021-09-24,153.53,154.2,153.4,154.18,25577
2021-09-27,153.81,153.85,151.635,152.05,200650
2021-09-28,151.54,151.69,149.28,149.94,60277
2021-09-29,150.565,151.93,150.2,151.61,71778
2021-09-30,151.785,152.1,149.37,149.39,40672
2021-10-01,149.31,150.64,147.6,149.81,30782
2021-10-04,150.21,150.445,148.15,148.83,64702
2021-10-05,148.92,150.37,148.28,149.85,35821
2021-10-06,148.78,151.43,148.75,151.27,37155
2021-10-07,152.3,154.14,152.3,153.95,58380
2021-10-08,153.85,155.16,153.415,154.82,42268
2021-10-11,154.45,155.71,154.12,154.15,32272
2021-10-12,154.84,155.75,154.055,154.51,38529
