date,open,high,low,close,volume
2021-07-21,25.33,25.545,25.215,25.28,165700
2021-07-22,25.26,25.4,25.025,25.27,90944
2021-07-23,25.18,25.195,24.895,25.165,108573
2021-07-26,25.21,25.705,25.2,25.595,168598
2021-07-27,25.295,25.38,25.1,25.275,149297
2021-07-28,25.22,25.47,24.875,25.3,103531
2021-07-29,25.45,25.59,25.285,25.455,116509
2021-07-30,25.43,25.55,24.985,25.05,213559
2021-08-02,25.13,25.52,24.845,24.94,247030
2021-08-03,24.81,25.13,24.245,25.1,314912
2021-08-04,24.8,25.315,24.645,24.895,153763
2021-08-05,24.98,25.205,24.95,25.07,169147
2021-08-06,25.22,25.24,24.975,25.065,87488
2021-08-09,24.86,25.07,24.745,24.745,83520
2021-08-10,24.87,25.04,24.795,24.98,117317
2021-08-11,25.035,25.09,24.785,24.96,128187
2021-08-12,24.95,25.15,24.86,24.985,108778
2021-08-13,24.99,25.11,24.78,24.84,105807
2021-08-16,24.68,24.91,24.53,24.62,172020
2021-08-17,24.46,24.735,24.185,24.475,182418
2021-08-18,24.43,24.465,24.02,24.025,340620
2021-08-19,23.74,23.945,23.535,23.885,271864
2021-08-20,23.78,24.13,23.75,24.045,174622
2021-08-23,24.37,24.575,24.31,24.51,134622
2021-08-24,24.59,24.71,24.455,24.625,114715
2021-08-25,24.56,24.805,24.44,24.6,111006
2021-08-26,24.47,24.55,24.145,24.165,267618
2021-08-27,24.355,24.835,24.32,24.575,257097
2021-08-30,24.74,24.875,24.56,24.56,108387
2021-08-31,24.495,24.82,24.48,24.69,382464
2021-09-01,24.69,24.77,24.53,24.655,171726
2021-09-02,24.77,25.165,24.77,25.11,342561
2021-09-03,25.02,25.135,24.8,24.95,182160
2021-09-07,24.87,24.95,24.525,24.615,191266
2021-09-08,24.885,25.18,24.67,24.75,295899
2021-09-09,24.09,24.43,24.02,24.14,191974
2021-09-10,24.38,24.43,24.115,24.29,118480
2021-09-13,24.57,24.945,24.52,24.8,202073
2021-09-14,24.97,25.02,24.69,24.74,160126
2021-09-15,24.99,25.805,24.98,25.805,300710
2021-09-16,25.765,25.805,25.405,25.42,399151
2021-09-17,25.41,25.59,25.24,25.27,340227
2021-09-20,24.89,25.045,24.62,24.97,191376
2021-09-21,25.2,25.23,24.7,24.7,214798
2021-09-22,24.985,25.23,24.985,25.03,160448
2021-09-23,25.05,25.605,25.05,25.475,113465
2021-09-24,25.45,25.575,25.33,25.39,135055
2021-09-27,25.76,26.115,25.74,26.035,242323
2021-09-28,26.27,26.61,25.955,26.08,205036
2021-09-29,26.1,26.41,25.885,26.27,152010
