date,open,high,low,close,volume
2021-07-21,47.5,47.5,46.91,47.06,522690
2021-07-22,47.02,47.37,46.94,47.07,304680
2021-07-23,47.17,47.57,47.01,47.48,443580
2021-07-26,47.43,47.94,47.18,47.54,433473
2021-07-27,47.66,47.66,47.34,47.54,363216
2021-07-28,47.51,47.74,47.27,47.37,373596
2021-07-29,47.51,47.6,47.36,47.42,274617
2021-07-30,47.07,47.64,47.07,47.52,450744
2021-08-02,47.57,47.57,47.24,47.4,426915
2021-08-03,47.51,47.97,47.46,47.95,406155
2021-08-04,47.82,47.98,47.59,47.62,745722
2021-08-05,48.09,48.5,48.02,48.5,786921
2021-08-06,48.75,48.75,48.32,48.4,384405
2021-08-09,48.62,48.83,48.47,48.53,309804
2021-08-10,48.93,49.64,48.79,49.56,3103125
2021-08-11,49.87,50.52,49.73,50.01,2041011
2021-08-12,49.67,50.07,49.67,49.69,394038
2021-08-13,49.79,50.12,49.73,49.84,620412
2021-08-16,49.88,50.57,49.68,50.24,2939637
2021-08-17,50.08,50.82,49.73,50.23,1932957
2021-08-18,50.16,50.83,49.68,49.68,742701
2021-08-19,49.45,50.22,49.43,50.04,511812
2021-08-20,50.15,50.56,49.94,50.49,443007
2021-08-23,50.52,50.57,50.14,50.15,302388
2021-08-24,50.12,50.12,49.58,49.64,354972
2021-08-25,49.45,49.76,49.35,49.64,472494
2021-08-26,49.27,49.39,48.89,49.12,680874
2021-08-27,49.22,49.22,48.73,48.84,329886
2021-08-30,48.83,49.33,48.7,49.23,309093
2021-08-31,49.28,49.48,49.09,49.38,450228
2021-09-01,49.29,49.29,48.87,49.24,258381
2021-09-02,49.34,49.57,49.24,49.51,288030
2021-09-03,49.38,49.88,49.31,49.74,448815
2021-09-07,49.66,49.71,49.02,49.08,1120806
2021-09-08,49.01,49.44,48.92,49.14,634704
2021-09-09,49.16,49.19,48.65,48.8,702708
2021-09-10,49.05,49.06,48.48,48.63,393963
2021-09-13,48.9,49.05,48.22,48.35,501291
2021-09-14,48.5,48.61,47.98,48.09,453024
2021-09-15,48.02,48.25,47.95,48.17,284151
2021-09-16,48.16,48.43,47.92,48.35,389799
2021-09-17,48.21,48.72,48.16,48.26,1419846
2021-09-20,47.8,48.39,47.22,47.59,947181
2021-09-21,47.61,48.18,47.61,47.67,450069
2021-09-22,47.85,47.85,47.43,47.55,292602
2021-09-23,47.71,47.88,47.49,47.58,464226
2021-09-24,47.5,47.9,47.5,47.72,463119
2021-09-27,47.62,47.82,47.29,47.42,620673
2021-09-28,47.32,47.34,46.67,46.83,621978
2021-09-29,46.96,47.27,46.78,46.8,289248
2021-09-30,46.93,47.24,46.44,46.45,1040838
2021-10-01,46.44,46.54,45.32,45.64,1057827
2021-10-04,45.72,46.06,44.9,45.23,845775
2021-10-05,45.38,45.9,45.34,45.54,656232
2021-10-06,45.41,45.91,45.38,45.87,496188
2021-10-07,46.3,46.89,46.29,46.41,640611
2021-10-08,46.56,46.69,46.34,46.56,579207
2021-10-11,46.61,46.92,46.5,46.51,408426
2021-10-12,46.48,46.79,46.38,46.47,265650
2021-10-13,46.48,46.67,46.06,46.13,535065
2021-10-14,46.24,46.69,46.18,46.62,412656
2021-10-15,46.85,47.03,46.66,46.84,428292
2021-10-18,46.64,47.33,46.61,47.23,475989
2021-10-19,48.2,48.53,47.9,48.23,719805
2021-10-20,48.42,48.83,48.37,48.68,1077117
2021-10-21,48.85,48.97,48.62,48.94,912642
2021-10-22,49.11,49.89,49.1,49.46,1238577
2021-10-26,49.98,50.18,49.49,49.58,508077
2021-10-27,49.64,49.67,49.14,49.18,485763
2021-10-28,49.45,49.66,49.24,49.49,401472
2021-10-29,49.29,50.02,49.22,49.79,933444
2021-11-01,50.02,50.23,49.79,49.94,580719
2021-11-02,49.99,50.05,49.76,49.91,560580
2021-11-03,49.85,50.09,49.68,50.05,306735
2021-11-04,50.03,50.61,50.01,50.42,510342
2021-11-05,50.62,50.62,49.87,50.08,341310
2021-11-08,50.09,50.16,49.58,49.76,311898
2021-11-09,49.85,49.95,49.63,49.93,685815
2021-11-10,49.57,49.84,49.33,49.48,645675
2021-11-11,49.62,49.66,49.41,49.5,508851
2021-11-12,49.68,49.75,49.19,49.27,687549
2021-11-15,49.38,49.48,48.81,48.97,780786
2021-11-16,48.37,48.89,47.44,47.73,1989441
2021-11-17,47.68,48.23,47.28,47.32,589284
2021-11-18,47.38,47.76,46.95,47.73,496050
2021-11-19,47.84,47.98,47.32,47.45,533484
2021-11-22,47.58,48.45,47.34,48.26,783792
2021-11-23,48.12,48.66,47.78,48.6,699288
2021-11-24,48.56,49.0,48.55,48.85,545763
2021-11-26,48.74,49.29,48.14,48.31,751857
2021-11-29,48.36,48.41,47.51,47.54,1079898
2021-11-30,47.2,47.5,46.68,46.88,1048749
2021-12-01,46.82,46.89,45.68,45.68,2503386
2021-12-02,45.88,46.13,45.1,45.17,4115208
2021-12-03,45.31,45.94,45.1,45.83,2475843
2021-12-06,45.78,46.45,45.78,46.34,1328034
2021-12-07,46.57,46.61,46.04,46.18,2549775
2021-12-08,46.03,46.16,45.34,45.7,1156254
2021-12-09,45.49,46.19,45.25,46.17,1828440
2021-12-10,46.12,47.1,45.87,47.01,2405154
2021-12-13,46.77,47.9,46.68,47.87,2799498
2021-12-14,47.79,48.42,47.4,48.32,1733961
2021-12-15,48.4,48.81,47.82,48.6,1061103
2021-12-16,48.59,48.82,47.64,47.78,1598931
2021-12-17,47.58,47.97,46.14,46.21,1846359
2021-12-20,46.01,46.55,45.88,46.39,950019
2021-12-21,46.31,46.6,46.01,46.54,728010
2021-12-22,46.63,46.66,46.23,46.6,739137
2021-12-23,46.59,46.71,46.29,46.5,608160
2021-12-27,46.54,46.96,46.54,46.91,642216
2021-12-28,46.97,47.65,46.97,47.6,365397
2021-12-29,47.72,47.84,47.45,47.58,340905
2021-12-30,47.71,47.89,47.51,47.73,412188
2021-12-31,47.73,48.35,47.64,48.24,368772
2022-01-03,48.05,48.25,47.68,48.22,548994
2022-01-04,48.09,48.35,47.26,47.32,943755
2022-01-05,47.67,48.63,47.65,47.99,992049
2022-01-06,47.83,48.21,47.52,47.84,866856
2022-01-07,47.81,48.45,47.66,48.3,702408
2022-01-10,48.52,48.52,47.72,48.19,658218
2022-01-11,48.03,48.2,47.74,48.07,1023684
2022-01-12,47.91,47.98,47.69,47.82,387024
2022-01-13,47.81,48.55,47.72,48.5,718713
2022-01-14,48.16,48.86,48.12,48.34,883863
2022-01-18,48.07,48.2,47.38,47.54,557928
2022-01-19,47.56,48.33,47.34,47.99,660513
2022-01-20,47.47,48.15,47.06,47.07,890277
2022-01-21,47.04,47.41,46.69,46.74,717372
2022-01-24,46.37,46.74,46.02,46.42,217203
2022-01-25,46.63,46.76,45.62,45.71,942876
2022-01-26,45.72,46.26,45.33,45.56,730269
2022-01-27,45.61,46.36,45.13,45.28,1069911
2022-01-28,45.37,45.86,44.68,45.84,690087
2022-01-31,45.68,46.68,45.62,46.61,885567
2022-02-01,46.43,47.04,46.33,46.96,1055247
2022-02-02,46.96,47.2,46.73,46.96,605367
2022-02-03,46.76,47.33,46.62,46.95,494595
2022-02-04,47.0,47.0,46.13,46.44,671664
2022-02-07,46.65,46.65,45.88,45.99,622242
2022-02-08,46.12,46.4,45.84,46.0,439485
2022-02-09,46.15,46.25,45.82,45.9,999837
2022-02-10,45.57,45.66,45.16,45.35,1478544
2022-02-11,45.6,45.73,44.74,45.1,789015
2022-02-14,45.16,45.31,44.26,44.64,1178607
2022-02-15,44.92,45.21,44.6,44.79,1077186
2022-02-16,44.78,44.95,44.25,44.51,805257
2022-02-17,44.73,46.49,44.73,46.23,2057460
2022-02-18,46.04,46.52,45.73,45.98,775287
2022-02-22,45.93,46.07,45.31,45.48,1344669
2022-02-23,45.61,45.68,44.95,45.02,724407
2022-02-24,44.63,45.0,44.01,44.87,1399368
2022-02-25,44.96,45.58,44.7,45.47,855063
2022-02-28,44.98,45.34,44.6,45.05,651339
2022-03-01,45.33,45.94,45.02,45.33,677757
2022-03-02,45.21,45.61,45.09,45.39,1269282
2022-03-03,45.71,46.8,45.71,46.43,975933
2022-03-04,45.95,47.64,45.87,47.6,1557798
2022-03-07,47.12,47.87,46.86,47.22,2222091
2022-03-09,46.46,46.74,46.06,46.48,708288
2022-03-10,46.52,47.67,46.35,47.54,1771065
2022-03-11,47.46,48.0,47.31,47.36,807669
2022-03-14,47.51,48.27,47.35,48.02,842586
2022-03-15,48.19,48.72,47.96,48.59,823107
2022-03-16,48.57,48.97,47.92,48.45,634749
2022-03-17,48.26,48.42,47.91,48.33,634212
2022-03-18,48.39,48.5,48.09,48.49,471750
2022-03-21,48.45,49.06,47.89,48.08,608496
2022-03-22,48.21,48.29,47.68,47.92,541854
2022-03-23,47.73,47.87,47.18,47.31,804435
2022-03-24,47.43,47.78,47.3,47.62,394434
2022-03-25,47.75,47.96,47.42,47.83,288543
2022-03-28,47.79,48.69,47.78,48.66,793995
2022-03-29,48.96,49.35,48.8,49.08,775830
2022-03-30,49.07,50.05,49.02,49.95,978453
2022-03-31,49.61,50.17,49.61,49.66,964770
2022-04-01,49.92,50.42,49.61,50.33,803394
2022-04-04,50.3,51.07,50.03,50.37,1615062
2022-04-05,50.32,51.1,50.32,50.49,688986
