date,open,high,low,close,volume
2021-07-21,34.44,34.44,33.95,33.98,37671
2021-07-22,33.86,34.01,33.4,33.44,68922
2021-07-23,33.58,33.94,32.9,33.25,88123
2021-07-26,33.17,33.48,33.03,33.14,62874
2021-07-27,32.99,33.27,32.75,32.97,76119
2021-07-28,33.18,33.18,32.23,32.41,91622
2021-07-29,32.62,32.81,32.46,32.69,74673
2021-07-30,32.67,32.73,32.42,32.49,74864
2021-08-02,32.58,32.82,32.34,32.34,54398
2021-08-03,32.2,32.33,32.01,32.24,44271
2021-08-04,32.14,32.26,31.96,31.96,53208
2021-08-05,32.15,32.31,31.89,32.31,68834
2021-08-06,32.55,32.8,32.54,32.66,43884
2021-08-09,32.76,32.76,32.46,32.65,163262
2021-08-10,32.53,32.86,32.45,32.52,53041
2021-08-11,32.54,32.91,32.51,32.91,70317
2021-08-12,32.85,32.85,32.62,32.84,57915
2021-08-13,33.01,33.17,32.81,33.13,48249
2021-08-16,32.87,33.24,32.82,33.09,50217
2021-08-17,32.92,33.49,32.85,33.22,43728
2021-08-18,33.13,33.31,32.95,32.95,37379
2021-08-19,33.12,33.64,33.08,33.59,36312
2021-08-20,33.8,34.16,33.8,33.94,28064
2021-08-23,33.99,34.11,33.78,33.78,39044
2021-08-24,33.92,33.96,33.72,33.74,35374
2021-08-25,33.72,34.06,33.72,33.88,28514
2021-08-26,33.75,33.75,33.4,33.4,61193
2021-08-27,33.5,33.84,33.49,33.84,31905
2021-08-30,33.8,33.8,33.39,33.39,21165
2021-08-31,33.5,33.74,33.42,33.48,29106
2021-09-01,33.42,33.59,33.09,33.41,43629
2021-09-02,33.4,33.51,33.2,33.51,33140
2021-09-03,33.25,33.4,33.0,33.13,20954
2021-09-07,32.75,32.92,32.58,32.58,43769
2021-09-08,32.43,33.03,32.43,32.98,111129
2021-09-09,33.24,33.45,32.47,32.47,75800
2021-09-10,32.72,32.72,31.88,31.88,50314
2021-09-13,32.05,32.36,32.0,32.2,35761
2021-09-14,32.13,32.21,31.72,31.74,53536
2021-09-15,31.82,31.93,31.68,31.86,70195
2021-09-16,31.91,32.18,31.79,32.07,88998
2021-09-17,32.13,32.15,31.87,32.07,84786
2021-09-20,31.94,31.94,31.43,31.83,76016
2021-09-21,31.96,32.15,31.83,31.87,64719
