date,open,high,low,close,volume
2021-07-21,79.86,80.6,79.13,79.44,49088
2021-07-22,76.65,77.36,75.67,77.25,167518
2021-07-23,77.42,78.66,76.82,78.47,54264
2021-07-26,77.95,78.85,77.52,78.11,74610
2021-07-27,77.44,77.44,75.73,76.94,50772
2021-07-28,77.66,78.61,76.93,78.28,87690
2021-07-29,78.92,79.94,78.51,78.51,64162
2021-07-30,77.5,78.4,75.74,75.83,56496
2021-08-02,76.17,78.14,75.74,77.46,71532
2021-08-03,77.41,79.86,77.41,79.43,51472
2021-08-04,79.26,80.82,78.1,78.26,57010
2021-08-05,78.61,79.27,78.24,78.81,62034
2021-08-06,78.96,79.26,77.19,77.29,53444
2021-08-09,77.0,78.04,76.33,76.39,63906
2021-08-10,76.29,79.45,76.29,79.45,81290
2021-08-11,79.5,81.8,79.41,81.8,57644
2021-08-12,82.02,83.62,81.24,81.72,57058
2021-08-13,81.83,82.58,79.34,79.54,59576
2021-08-16,79.46,82.46,78.78,82.15,68070
2021-08-17,81.28,81.67,78.43,80.55,113428
2021-08-18,80.56,82.86,80.15,81.38,126074
2021-08-19,80.26,81.51,78.85,79.35,64920
2021-08-20,79.76,81.82,79.46,81.82,80382
2021-08-23,82.2,82.53,81.0,81.0,145062
2021-08-24,81.27,84.94,81.27,84.72,150332
2021-08-25,85.38,88.25,85.26,85.26,247634
2021-08-26,100.06,101.88,92.26,93.36,438956
2021-08-27,92.83,92.83,89.93,91.95,203532
2021-08-30,93.17,94.5,92.78,92.87,80360
2021-08-31,92.84,93.44,91.46,93.35,92110
2021-09-01,93.75,93.75,90.5,91.59,118198
2021-09-02,90.96,91.5,89.71,91.07,86620
2021-09-03,90.98,91.38,89.58,89.68,63830
2021-09-07,89.56,89.56,86.51,86.51,103900
2021-09-08,86.03,87.64,85.5,87.58,103460
2021-09-09,88.27,91.31,88.16,90.46,123324
2021-09-10,90.86,91.86,89.68,89.74,106316
2021-09-13,89.86,90.28,88.0,89.13,43326
2021-09-14,89.16,89.65,88.56,89.17,70782
2021-09-15,89.38,92.16,89.21,92.09,87132
2021-09-16,92.38,94.69,92.11,94.21,108614
2021-09-17,93.62,93.62,90.65,92.62,170924
2021-09-20,90.67,91.48,89.69,91.4,114618
2021-09-21,92.36,93.19,90.01,92.44,87948
2021-09-22,92.8,95.28,92.8,94.99,85764
2021-09-23,95.42,95.89,94.2,94.21,47336
2021-09-24,93.94,96.18,93.07,95.64,61602
2021-09-27,95.99,97.52,95.85,97.33,60330
2021-09-28,96.37,97.1,94.77,95.89,129466
2021-09-29,96.36,97.12,95.3,95.87,102850
2021-09-30,92.02,92.02,88.17,88.72,362458
2021-10-01,88.41,88.56,85.49,87.45,147632
2021-10-04,86.99,86.99,84.69,85.05,185852
2021-10-05,85.18,86.08,84.39,84.8,116112
2021-10-06,84.09,84.5,82.57,83.43,78698
2021-10-07,85.4,86.89,85.0,86.39,51398
2021-10-08,86.28,86.3,84.9,85.54,42394
2021-10-11,85.47,86.47,84.79,85.78,61736
2021-10-12,85.95,86.93,85.06,86.47,62276
2021-10-13,86.51,87.17,85.48,86.96,75442
2021-10-14,87.37,90.08,87.01,89.44,120414
2021-10-15,89.63,91.21,89.63,91.09,65042
2021-10-18,91.27,92.89,90.65,92.79,74908
2021-10-19,93.42,94.09,92.38,92.71,79398
2021-10-20,93.45,94.62,93.33,93.52,69522
2021-10-21,93.74,94.43,93.54,94.34,61204
2021-10-22,94.2,95.92,94.2,94.76,71400
2021-10-26,92.65,92.65,89.91,91.13,70556
2021-10-27,91.5,91.96,90.35,90.96,40136
2021-10-28,91.44,93.0,91.28,92.08,37120
2021-10-29,92.72,93.25,92.04,92.86,49438
2021-11-01,93.0,94.82,92.34,93.88,84986
2021-11-02,93.89,97.25,93.48,97.05,69522
2021-11-03,98.22,105.4,98.13,101.9,146140
2021-11-04,102.83,104.53,102.01,103.66,108858
2021-11-05,104.42,104.42,102.88,103.49,47832
2021-11-08,103.36,103.41,100.87,101.57,53568
2021-11-09,101.98,104.17,101.54,102.31,43784
2021-11-10,101.44,102.06,99.66,100.72,76864
2021-11-11,102.12,103.83,102.12,103.22,37708
2021-11-12,103.52,105.67,102.93,105.25,101810
2021-11-15,105.63,107.19,105.38,106.02,128022
2021-11-16,106.16,111.28,106.16,110.88,158860
