date,open,high,low,close,volume
2021-07-21,200.565,200.565,197.14,198.05,91036
2021-07-22,198.345,200.87,198.345,200.59,96511
2021-07-23,201.37,203.9,200.885,203.63,36619
2021-07-26,202.79,202.79,200.25,200.82,44078
2021-07-27,201.665,202.62,201.08,201.89,43425
2021-07-28,202.3,203.85,201.63,203.25,39437
2021-07-29,204.5,205.53,203.67,204.09,43989
2021-07-30,203.305,204.15,202.28,202.66,99088
2021-08-02,203.61,204.36,201.54,202.13,70382
2021-08-03,203.18,204.325,202.415,204.04,84341
2021-08-04,203.72,206.895,203.72,204.87,63534
2021-08-05,196.27,203.96,196.14,203.9,152114
2021-08-06,203.615,203.765,200.18,201.795,53390
2021-08-09,202.81,202.81,198.8,199.77,40608
2021-08-10,200.21,200.785,198.215,198.78,51627
2021-08-11,199.63,199.63,197.0,197.38,49493
2021-08-12,197.45,200.365,197.45,199.74,32891
2021-08-13,200.58,201.56,199.73,201.54,34434
2021-08-16,202.07,204.82,201.355,204.82,27534
2021-08-17,204.615,206.625,204.615,206.61,91726
2021-08-18,206.175,206.72,203.21,203.24,34199
2021-08-19,203.12,207.89,202.96,206.435,45499
2021-08-20,207.185,208.23,206.78,207.065,44027
2021-08-23,207.785,208.45,206.05,206.52,43980
2021-08-24,206.54,206.54,204.565,205.02,31732
2021-08-25,204.485,205.025,203.08,204.42,36532
2021-08-26,205.045,205.105,203.41,204.07,36235
2021-08-27,204.81,206.01,203.62,203.82,40733
2021-08-30,204.77,206.95,204.655,205.85,35443
2021-08-31,205.735,205.945,203.17,204.75,31814
2021-09-01,204.17,206.37,203.48,206.37,47656
2021-09-02,207.22,209.24,206.83,209.21,52785
2021-09-03,208.78,210.07,207.25,209.725,45764
2021-09-07,209.675,209.675,205.59,207.86,34707
2021-09-08,207.53,209.38,206.65,209.255,56926
2021-09-09,209.99,209.99,205.95,206.07,45333
2021-09-10,206.89,207.81,206.45,207.1,40535
2021-09-13,208.56,208.56,202.32,204.94,82866
2021-09-14,205.24,206.44,203.37,203.48,78405
2021-09-15,203.94,205.16,202.51,204.04,76427
2021-09-16,203.87,203.87,201.57,202.78,39083
2021-09-17,201.3,202.305,197.885,198.51,179608
2021-09-20,196.71,199.79,196.62,198.605,60350
2021-09-21,199.8,201.73,199.8,201.16,56824
2021-09-22,202.15,203.56,200.41,201.46,73128
2021-09-23,203.23,205.93,203.23,204.75,44998
2021-09-24,204.2,205.46,203.82,204.75,33379
2021-09-27,203.99,203.99,196.66,197.89,114669
2021-09-28,195.9,195.9,191.37,192.73,98868
2021-09-29,194.29,196.49,192.68,194.96,74473
2021-09-30,196.33,198.005,194.08,194.16,67873
2021-10-01,194.46,197.4,192.75,196.15,87110
2021-10-04,195.75,195.83,190.93,193.69,115433
2021-10-05,195.15,197.495,193.72,196.41,52361
2021-10-06,195.485,195.965,193.525,195.76,67493
2021-10-07,198.22,201.35,198.22,199.0,38442
2021-10-08,199.14,199.14,196.47,197.95,22988
2021-10-11,196.54,198.93,196.1,197.69,42464
2021-10-12,198.835,198.835,195.81,197.15,40657
2021-10-13,197.885,198.94,195.865,197.52,57501
2021-10-14,199.695,201.52,198.87,200.41,32407
2021-10-15,201.68,202.705,200.89,202.19,34956
2021-10-18,201.89,202.88,200.83,202.75,60298
2021-10-19,203.715,206.15,203.715,204.43,32441
2021-10-20,205.5,206.54,204.975,206.25,44969
2021-10-21,206.87,208.78,205.505,208.63,60523
2021-10-22,208.02,208.79,207.06,208.545,48483
2021-10-26,210.385,211.735,207.995,210.56,55078
2021-10-27,210.41,211.07,209.03,209.485,61167
2021-10-28,209.94,213.42,209.94,212.73,55965
2021-10-29,212.99,216.81,212.99,216.17,42061
2021-11-01,215.86,217.58,213.1,213.65,77390
2021-11-02,214.35,215.325,211.31,212.29,99079
2021-11-03,212.01,212.41,208.78,210.99,90425
2021-11-04,213.785,217.9,213.66,217.81,100864
2021-11-05,218.115,218.395,214.77,217.04,100475
2021-11-08,218.135,218.35,216.045,217.73,50904
2021-11-09,218.155,220.25,217.42,220.25,50035
2021-11-10,219.13,220.735,216.04,216.55,70728
2021-11-11,217.065,217.065,215.425,215.7,146032
2021-11-12,216.505,217.605,215.585,216.91,92435
2021-11-15,216.96,216.96,215.7,215.88,50389
2021-11-16,216.13,221.5,216.13,220.28,46719
2021-11-17,221.325,222.57,217.43,221.89,78359
2021-11-18,224.7,226.12,223.52,225.54,103970
2021-11-19,226.73,227.72,224.33,226.39,71284
2021-11-22,227.665,228.85,224.38,224.38,64611
2021-11-23,223.555,224.675,221.37,223.7,30738
2021-11-24,223.91,223.91,221.13,223.17,49057
2021-11-26,220.5,224.73,218.64,219.53,43146
2021-11-29,221.99,225.51,220.98,223.55,45983
2021-11-30,220.9,226.145,220.89,221.83,99014
2021-12-01,222.32,224.525,219.25,219.65,83213
2021-12-02,219.75,223.86,219.73,223.02,77861
2021-12-03,225.48,225.935,220.53,223.31,75542
2021-12-06,224.5,224.58,221.13,223.01,55051
2021-12-07,224.795,227.39,224.37,225.55,48302
2021-12-08,228.02,229.85,227.06,229.65,54729
2021-12-09,230.0,230.96,227.63,230.05,55442
2021-12-10,229.64,231.78,229.465,231.4,64880
2021-12-13,231.47,232.98,229.76,232.29,47412
2021-12-14,230.15,230.67,226.495,228.03,74874
2021-12-15,230.78,232.26,227.51,232.21,145861
2021-12-16,232.695,234.06,230.85,232.69,63442
2021-12-17,232.34,236.33,232.34,234.27,108808
2021-12-20,234.27,234.53,230.35,234.31,44667
2021-12-21,235.96,237.97,232.58,237.66,103587
2021-12-22,238.51,241.63,238.0,241.59,43001
2021-12-23,241.17,244.19,241.17,242.42,46393
2021-12-27,246.04,246.68,243.09,246.49,53787
2021-12-28,247.26,247.62,243.71,244.22,65577
2021-12-29,244.17,247.76,244.17,247.085,36078
2021-12-30,247.75,247.75,245.06,245.25,49958
2021-12-31,246.94,246.94,243.74,244.02,50920
2022-01-03,243.02,243.02,233.35,233.56,134449
2022-01-04,233.76,233.76,222.24,224.955,220342
2022-01-05,226.38,226.805,215.68,216.67,223529
2022-01-06,215.74,220.53,213.7,217.44,123902
2022-01-07,216.52,216.52,210.92,211.1,114638
2022-01-10,207.555,212.59,207.0,212.59,127804
